Time,LGLTMED,LRF,LADDLONG,LBF,LTA,LGM
0.0,-0.0004228872341145545,-0.01684719449031395,0.004374089926127867,-0.00011865042853130755,-0.0038806313122651107,-0.030270482124953816
0.001,-0.0003130203764200451,-0.015435844983520627,0.004911456352587534,0.0003634702118996633,-0.0033313585810632435,-0.028463077908568998
0.002,-0.00020366956119260025,-0.014032395458010946,0.005451992455708608,0.0008402275918194211,-0.0027824482052186627,-0.026671608167388533
0.003,-9.489878339967195e-05,-0.012637732774796153,0.00599541470938309,0.0013112902835832076,-0.002234188783958627,-0.024897154779396538
0.004,1.3228871291934652e-05,-0.011252733539912517,0.006541437304631055,0.0017763337546792385,-0.001686867338123995,-0.02314077582848053
0.005,0.0001206513226821097,-0.009878262865595622,0.0070897725759722805,0.0022350408896714222,-0.0011407689387021866,-0.021403503995327703
0.006,0.0002273075898986599,-0.008515173161670116,0.0076401314283181644,0.0026871024985059486,-0.0005961763429415942,-0.01968634500655142
0.007,0.0003331378826814944,-0.007164302960926114,0.008192223762821001,0.0031322178097734905,-5.3369639053351845e-05,-0.01799027614676506
0.008,0.00043808368982577736,-0.005826475781971856,0.008745758900165834,0.003570094947558448,0.00048737409961540127,-0.016316244837909277
0.009,0.0005420878645257796,-0.004502499032656089,0.009300445999875681,0.004000451390545482,0.0010257811501635777,-0.014665167289689942
0.01,0.0006450947063663087,-0.0031931629566935484,0.009855994474319191,0.0044230144120981,0.0015615814647959416,-0.013037927224513057
0.011,0.0007470500397151525,-0.0018992396256882294,0.010412114396240605,0.004837521500080106,0.0020945089839659167,-0.01143537467985864
0.012,0.0008479012882792017,-0.0006214819784010953,0.010968516898765454,0.0052437207552585895,0.002624301937480631,-0.009858324890676154
0.013,0.0009475975456005509,0.0006393770911357494,0.011524914566977403,0.005641371267202707,0.003150703133114192,-0.008307557254117059
0.014,0.0010460896412893314,0.0018826255952494938,0.012081021820305467,0.006030243466673647,0.003673460232335213,-0.0067838143787007
0.015,0.0011433302028174962,0.0031075732628153938,0.012636555285082073,0.006410119453593178,0.004192326012809771,-0.005287801219771195
0.016,0.001239273712728768,0.004313552297118332,0.013191234156718135,0.0067807932997900975,0.004707058617395993,-0.003820184302772302
