time,LGLTMED,LRF,LADDLONG,LST,LTA,LGM,RGLTMED,RRF,RADDLONG,RST,RTA,RGM
0.038,-0.0270085,-0.0202945,-0.0990311,-0.00442512,-0.0102235,0.0102235,-0.0428779,-0.0328069,0.00411993,-0.0169375,-0.0221256,0.0151064
0.039,-0.00259404,-0.00869764,-0.100862,0.0102235,-0.00717174,0.0108339,-0.0520333,-0.0297551,-0.00930801,-0.0169375,-0.0270085,0.019379
0.04,0.0328069,-0.00686656,-0.103914,0.0541695,-0.0114443,0.00869764,-0.0492866,-0.0273137,-0.0199893,-0.016022,-0.0163272,0.012665
0.041,0.0138857,-0.00717174,-0.10544,0.123751,-0.0102235,0.00839246,-0.0343328,-0.0230411,-0.0221256,-0.0166323,0.0135805,0.0077821
0.042,-0.00228886,-0.0102235,-0.104829,0.0642405,-0.0129702,0.00228885,-0.0129702,-0.0242618,-0.0233463,-0.0181582,0.0108339,0.00564584
0.043,0.0117494,-0.0114443,-0.104524,-0.0654612,-0.0114443,-0.00198368,0.0062562,-0.0260929,-0.019379,-0.0157168,-0.0340276,0.009308
0.044,0.0434882,-0.0111391,-0.0987259,-0.0639353,-0.00930801,0.00106813,-0.00167849,-0.0254826,-0.0196841,-0.0129702,-0.0654612,0.0141909
0.045,0.0633249,-0.0105287,-0.093843,0.0782788,-0.00930801,-0.000457773,-0.0273137,-0.0190738,-0.0251774,-0.00808728,0.00900282,0.0157168
0.046,0.0505074,-0.0184634,-0.0883497,0.0395209,-0.00808728,0.00656138,-0.0233463,-0.0166323,-0.0297551,-0.00686656,0.153964,0.0230411
0.047,0.0257877,-0.0135805,-0.0886549,-0.0456245,-0.00656138,0.0062562,-0.0032044,-0.0138857,-0.0294499,-0.0077821,0.049897,0.0270085
0.048,0.0123598,-0.016022,-0.0859083,-0.137484,-0.00442512,0.00686656,-0.000152593,-0.0120546,-0.0309758,-0.00839246,-0.0450141,0.0202945
0.049,-0.0318914,-0.0148013,-0.0825513,-0.159457,-0.00564584,0.00442511,0.00961318,-0.0102235,-0.0291447,-0.0062562,-0.0572213,0.0157168
0.05,-0.0492866,-0.00991837,-0.0737011,-0.0773632,-0.0111391,0.00442511,0.0187686,-0.0154116,-0.0239567,-0.0047303,-0.0675975,0.0144961
0.051,-0.0544747,-0.0047303,-0.0703441,-0.0199893,-0.012665,-0.00289922,-0.00198368,-0.0169375,-0.0215152,-0.00259404,-0.0242618,0.0172427
0.052,-0.0538643,-0.00350958,-0.0611887,0.00595102,-0.0108339,0.00228885,-0.0215152,-0.0148013,-0.0215152,0.000152588,0.0209049,0.019379
0.053,-0.0364691,-0.00442512,-0.0550851,0.0315862,-0.0123598,0.00167849,-0.0276188,-0.0175479,-0.0215152,-0.00137331,0.0144961,0.0190738
0.054,-0.0144961,-0.00381476,-0.0492866,0.0621042,-0.0132754,-0.00564584,-0.0331121,-0.0187686,-0.0242618,-0.0032044,-0.0801099,0.0154116
0.055,0.0282292,-0.00350958,-0.0447089,0.0663767,-0.00717174,-0.00686656,-0.0331121,-0.0175479,-0.0230411,-0.00381476,-0.0444038,0.016022
0.056,0.0514229,-0.00747692,-0.0401312,0.0303655,-0.0157168,-0.0221256,-0.0392157,-0.0205997,-0.0181582,-0.00534066,0.0376898,0.0132753
0.057,0.0541695,-0.00289922,-0.0321965,-0.00198368,-0.0178531,-0.0239567,-0.0343328,-0.0205997,-0.0157168,-0.00564584,0.0196841,0.0111391
0.058,0.0349432,-0.000457773,-0.0236515,0.0151064,-0.0151064,-0.00808728,-0.0242618,-0.024567,-0.0175479,-0.00564584,0.00198367,0.00473029
0.059,0.0337224,-0.00839246,-0.0196841,0.0300603,-0.0132754,0.0239567,-0.0236515,-0.0227359,-0.0132754,-0.0062562,0.0386053,0.00473029
0.06,0.0184634,-0.00961319,-0.00900283,0.00656138,-0.0184634,0.019379,-0.0239567,-0.0239567,-0.00869764,-0.0032044,0.0434882,0.00442511
0.061,0.00900282,-0.00991837,-0.00137331,0.0300603,-0.019379,0.0102235,-0.0157168,-0.0248722,-0.0062562,-0.000152593,-0.0163272,0.00747692
0.062,0.0172427,-0.0144961,0.000762949,0.0471504,-0.0215152,0.0202945,-0.0108339,-0.0267033,-0.00503548,0.000762949,0.00869764,0.0105287
0.063,-0.0184634,-0.0144961,0.00320439,0.061799,-0.0144961,0.0114443,-0.0175479,-0.0328069,0.00381475,0.000762949,0.0468452,0.00900282
0.064,-0.0575265,-0.0144961,0.00900282,0.0572213,-0.0151064,0.00167849,-0.019379,-0.031281,0.009308,-0.0047303,0.0856031,0.009308
0.065,-0.0923171,-0.0117494,0.0199893,0.0456245,-0.0105287,0.00564584,-0.0199893,-0.0318914,0.012665,0.00137331,-0.0376898,0.0129702
0.066,-0.0978103,-0.0132754,0.019379,0.056611,-0.0120546,0.0291447,-0.0151064,-0.0303655,0.0215152,0.00228885,-0.0514229,0.0132753
0.067,-0.0459297,-0.0144961,0.0239567,0.037995,-0.0175479,0.000457768,-0.0108339,-0.0209049,0.0205997,-0.0032044,0.0184634,0.00503547
0.068,0.0376898,-0.0120546,0.0321965,0.0218204,-0.0102235,-0.0144961,-0.0123598,-0.0205997,0.0248722,0.00198367,-0.0822461,0.00869764
0.069,0.0920119,-0.0129702,0.0334173,-0.0520333,-0.00991837,-0.00106813,-0.00717174,-0.0215152,0.0328069,0.000457768,-0.0660716,0.00808728
0.07,0.111543,-0.0111391,0.039826,-0.0715648,-0.0102235,0.00839246,-0.0190738,-0.02121,0.0370794,0.00350957,-0.0190738,0.00900282
0.071,0.0962844,-0.00717174,0.0419623,-0.0187686,-0.0047303,0.00198367,-0.031281,-0.0190738,0.0437934,0.0062562,-0.027924,0.00991836
0.072,0.056611,-0.00595102,0.0440986,-0.0221256,-0.00595102,-0.0047303,-0.0294499,-0.016022,0.0511177,0.00442511,-0.0526436,0.00198367
0.073,0.0233463,-0.0032044,0.0422675,-0.0343328,0.000152588,0.0129702,-0.0373846,-0.0132754,0.0547799,0.00198367,0.0502022,0.00717174
0.074,0.0282292,-0.00411994,0.0440986,-0.00869764,-0.0077821,0.0196841,-0.0364691,-0.016022,0.0553902,0.00473029,0.15671,0.0172427
0.075,0.0325017,-0.00808728,0.0413519,0.00991836,-0.0166323,0.0221256,-0.0328069,-0.0172427,0.0517281,0.00350957,0.0602731,0.0157168
0.076,0.00717174,-0.0105287,0.0321965,0.000152588,-0.0215152,0.0364691,-0.0169375,-0.0184634,0.0529488,-0.00350958,-0.00869764,0.0151064
0.077,-0.00717174,-0.00869764,0.0303655,-0.0172427,-0.0215152,0.0102235,0.00228885,-0.0199893,0.059968,-0.000457773,0.0154116,0.00869764
0.078,-0.0163272,-0.00656138,0.0288395,0.0209049,-0.016022,-0.0355535,-0.00442512,-0.0199893,0.0608835,0.000762949,0.00228885,-0.000762953
0.079,-0.0282292,-0.00381476,0.0215152,0.0495918,-0.0154116,-0.0727855,0.000457768,-0.0196841,0.0624094,0.000762949,0.00320439,0.00503547
0.08,-0.0123598,-0.00686656,0.0151064,0.0389105,-0.0190738,-0.0856031,-0.00839246,-0.02121,0.0642405,0.000762949,0.00595102,0.0132753
0.081,0.0114443,-0.0117494,0.00991836,0.0202945,-0.00808728,-0.0605783,-0.016022,-0.0205997,0.065156,-0.00167849,0.0321965,0.0129702
0.082,0.00656138,-0.0129702,0.00869764,-0.0236515,-0.00808728,-0.0440986,-0.00930801,-0.0227359,0.0544747,0.000457768,-0.0355535,0.00900282
0.083,-0.0077821,-0.0129702,0.0111391,-0.00839246,-0.0114443,-0.0794995,-0.0032044,-0.0239567,0.0471504,0.00350957,-0.0355535,0.0190738
0.084,-0.0144961,-0.0117494,0.0132753,-0.00686656,0.000762949,0.0260929,-0.00228886,-0.0218204,0.0413519,0.00228885,-0.0144961,0.0172427
0.085,0.0123598,-0.0105287,0.0123598,-0.0157168,-0.00839246,0.233616,-0.00503548,-0.0184634,0.0358587,0.0062562,-0.0621042,0.0227359
0.086,0.00534066,-0.00900283,0.00442511,-0.0114443,-0.0202945,0.157015,-0.0129702,-0.0260929,0.0276188,0.0105287,-0.0541695,0.0239567
0.087,0.0144961,-0.00350958,0.000152588,0.0123598,-0.0218204,0.0328069,-0.0205997,-0.0242618,0.0151064,0.0102235,-0.0331121,0.0202945
0.088,0.0163272,-0.00747692,-0.00167849,0.0270085,-0.0144961,0.0077821,-0.0257877,-0.0257877,0.0114443,0.00961318,0.0505074,0.0172427
0.089,0.00320439,-0.00381476,-0.00656138,0.0325017,-0.0102235,0.00717174,-0.0172427,-0.0260929,0.00320439,0.0102235,0.0199893,0.00473029
0.09,-0.00198368,-0.00564584,-0.00930801,0.120699,-0.00900283,0.00839246,-0.0114443,-0.0288396,0.000762949,0.00350957,-0.0151064,-0.000457773
0.091,0.0178531,-0.00961319,-0.00869764,0.166476,-0.0105287,-0.00900283,-0.0202945,-0.0276188,-0.00534066,0.00228885,-0.00198368,-0.000762953
0.092,0.0169375,-0.0102235,-0.00595102,0.0669871,-0.0108339,-0.0227359,-0.0221256,-0.0270085,-0.0123598,0.00564584,0.000152588,0.00900282
0.093,-0.00747692,-0.00564584,-0.00747692,-0.145724,-0.0108339,-0.0315862,-0.0233463,-0.0260929,-0.0221256,0.00656138,-0.00961319,0.0111391
0.094,0.00473029,-0.00564584,-0.0129702,-0.191196,-0.0062562,-0.0370794,-0.0270085,-0.0273137,-0.0224308,0.00534066,-0.00808728,0.0199893
0.095,-0.00137331,-0.00106813,-0.0157168,-0.075227,-0.0114443,0.0453193,-0.0285344,-0.0215152,-0.0257877,0.00411993,-0.000762953,0.0202945
0.096,-0.0111391,-0.0032044,-0.0209049,-0.0746166,-0.0154116,0.0462348,-0.0221256,-0.0202945,-0.0318914,0.00534066,0.00228885,0.0144961
