Time,LGLTMED,LRF,LADDLONG,LBF,LTA,LGM
0.0,-0.003571959979203712,-0.0013076391151125807,-0.0006265254395498373,-0.0011394494294494643,0.004191558242994686,-0.002459665555362986
0.001,-0.0025502947634910155,-0.0011712645451718287,-0.0005459865086199695,-0.0010917607759352338,0.004425991716808219,-0.0022044186591761447
0.002,-0.0015359989174444524,-0.0010356479420493589,-0.0004656608426378807,-0.0010422437689308608,0.004658359387817905,-0.0019429716367508653
0.003,-0.0005297542761295416,-0.0009008668293392181,-0.00038559358405811464,-0.000990868642844995,0.004888474013777504,-0.0016753210600090455
0.004,0.0004677652874717249,-0.0007669975230131939,-0.0003058294392815123,-0.0009376063548326225,0.005116150530947556,-0.001401467751080667
0.005,0.0014558948069477247,-0.0006341150225125445,-0.00022641261532539787,-0.0008824286401313345,0.005341206369343021,-0.0011214168639123371
0.006,0.0024339791493816322,-0.0005022929054733432,-0.00014738675800081639,-0.0008253080687899448,0.00556346176321515,-0.0008351779641424978
0.007,0.003401373922340599,-0.00037160322644596747,-6.879489178697976e-05,-0.0007662181037689434,0.005782740055634737,-0.0005427651070942658
0.008,0.004357446358670018,-0.0002421164199177941,9.320638421248784e-06,-0.0007051331603803351,0.0059988679961364005,-0.0002441969137237618
0.009,0.00530157617693721,-0.0001139012078916778,8.691822353233138e-05,-0.0006420286670250178,0.006211676030485947,6.0503355649634403e-05
0.01,0.006233156415456136,1.2975487786428185e-05,0.00016395704429963016,-0.0005768811271770354,0.006420998581729154,0.00037130773001681547
0.011,0.007151594237914272,0.00013844862821101725,0.00024039712305822973,-0.0005096681825543592,0.0066266743217721115,0.0006881834589574333
0.012,0.008056311708737334,0.0002624551352115938,0.00031619937304483886,-0.00044036867740456745,0.006828546432833078,0.0010110929467432419
0.013,0.008946746536465194,0.0003849339640816646,0.00039132564520336815,-0.0003689627238216374,0.007026462858184868,0.0013399936895050247
0.014,0.009822352783548972,0.0005058261711778062,0.000465738772395376,-0.000295431767998968,0.007220276541669321,0.001674838215717235
0.015,0.010682601541095777,0.0006250749763311964,0.000539402610953598,-0.00021975865731513114,0.007409845655519294,0.002015574030265422
0.016,0.011526981567190488,0.0007426258200192083,0.0006122820795359423,-0.0001419277081423611,0.007595033816077692,0.0023621435623698804
0.017,0.012354999887534834,0.000858426415251376,0.0006843431952535918,-6.192477426189571e-05,0.007775710287054003,0.002714484117648055
0.018,0.013166182357274708,0.0009724267941341604,0.00075555310705885,2.026268423633143e-05,0.007951750169996915,0.00307252783461012
0.019,0.013960074183026316,0.0010845793490913676,0.0008258801263866936,0.00010464553169960727,0.00812303458168635,0.003436201645894937
0.02,0.014736240404242663,0.0011948388687289986,0.0008952937550501393,0.00019123288744110238,0.008289450818171881,0.003805427244563084
0.021,0.015494266333189611,0.0013031625683441485,0.0009637647103950632,0.0002800320561939905,0.008450892505222993,0.004180121055767573
0.022,0.01623375795296822,0.0014095101150901526,0.0010312649477258536,0.00037104845863776884,0.008607259735020596,0.004560194214122927
0.023,0.01695434227327195,0.0015138436478279902,0.0010977676800191381,0.00046428556214789056,0.008758459189006215,0.004945552547092056
0.024,0.01765566764389663,0.001616127791718004,0.0011632473949487914,0.0005597448119264945,0.008904404246895037,0.0053360965647089136
0.025,0.018337404026355343,0.0017163296676332845,0.001227679869252065,0.0006574255626811518,0.0090450150819257,0.0057317214559526805
0.026,0.018999243224206364,0.0018144188965008555,0.0012910421804747906,0.0007573250110286566,0.009180218742455198,0.006132317092086128
0.027,0.019640899072852602,0.0019103675986940564,0.001353312716143357,0.0008594381288102655,0.00930994922002581,0.006537768037266996
0.028,0.02026210758965272,0.002004150388608458,0.0014144711804214235,0.0009637575975120496,0.009434147504055098,0.006947953566736495
0.029,0.020862627085245725,0.0020957443645585353,0.0014744985983177977,0.0010702737439884159,0.00955276162334537,0.007362747692882124
0.03,0.021442238237051322,0.0021851290941392832,0.0015333773175169286,0.0011789744776890304,0.009665746674674002,0.007782019199461726
0.031,0.022000744125965237,0.0022722865952094166,0.0015910910079052541,0.0012898452295909068,0.009773064838791588,0.008205631684262067
0.032,0.022537970237320615,0.0023572013126696317,0.0016476246588666421,0.0014028688930392162,0.009874685384201217,0.00863344361044882
0.033,0.023053764427232032,0.002439860091226915,0.0017029645744195197,0.001518025766702035,0.009970584659116216,0.009065308366845295
0.034,0.02354799685546813,0.0025202521443503803,0.0017570983662676795,0.0016352934998449652,0.010060746072005333,0.009501074337353966
0.035,0.024020559886002196,0.0025983690196332873,0.0018100149448370038,0.0017546470401309576,0.010145160061144817,0.00994058497970923
0.036,0.02447136795637041,0.0026742045607796167,0.0018617045083724334,0.001876058584149009,0.010223824053610976,0.01038367891372585
0.037,0.024900357416943367,0.002747754866433339,0.0019121585301733357,0.0019994975308733403,0.010296742414159624,0.010830190019189478
0.038,0.02530748634120754,0.0028190182460659965,0.0019613697440492768,0.002124930438252831,0.010363926384439903,0.011279947543523903
0.039,0.025692734308164926,0.002887995173134374,0.002009332128080057,0.0022523209831287806,0.010425394012974222,0.011732776219359909
0.04,0.026056102157976244,0.0029546882357154433,0.0020560408867631905,0.002381629924676999,0.010481170076307876,0.012188496392118837
0.041,0.026397611721972147,0.0030191020848208063,0.0021014924316295797,0.002512815071567713,0.010531285991699101,0.012646924157711563
0.042,0.02671730552812453,0.003081243380587976,0.0021456843604048567,0.002645831253034094,0.010575779721688385,0.013107871510442591
0.043,0.027015246483013844,0.0031411207365420633,0.0021886154347908102,0.002780630294037199,0.010614695670856664,0.013571146501196538
0.044,0.027291517531273686,0.0031987446621202214,0.002230285556940169,0.00291716099471147,0.010648084575055783,0.014036553405963463
0.045,0.027546221293467236,0.0032541275036528533,0.0022706957447005175,0.0030553691142704005,0.010676003383371702,0.014503892904727264
0.046,0.027779479683357998,0.003307283383997855,0.0023098481057091244,0.0031951973595463054,0.010698515133060377,0.014972962270699948
0.047,0.027991433505561443,0.0033582281410240097,0.0023477458104276235,0.003336585378331352,0.010715688817676072,0.015443555569838273
0.048,0.028182242034577934,0.003406979265136318,0.002384393064211196,0.0034794697576803458,0.010727599248592642,0.015915463870530184
0.049,0.028352082576198204,0.0034535558360318194,0.002419795078510277,0.0036237840273309245,0.010734326910103441,0.016388475463286867
0.05,0.02850115001224779,0.003497978458871114,0.0024539580413040106,0.0037694586683940236,0.010735957808276507,0.01686237609022479
0.051,0.02862965632960925,0.0035402692000472964,0.0024868890868642636,0.003916421127464822,0.010732583313736534,0.017336949184075773
0.052,0.028737830134441908,0.003580451522728203,0.0025185962649476863,0.004064595836299298,0.010724299998540889,0.017811976116426684
0.053,0.02882591615251356,0.003618550222339297,0.0025490885095116205,0.004213904237193325,0.010711209467311451,0.01828723645486322
0.054,0.028894174716563154,0.003654591362144427,0.002578375607047189,0.004364264814191041,0.01069341818277642,0.018762508228668442
0.055,0.02894288124161952,0.0036886022090711905,0.0026064681646189346,0.004515593130238511,0.0106710372858679,0.01923756820269822
0.056,0.028972325689212295,0.0037206111699174616,0.002633377577695328,0.004667801870388761,0.010644182410518526,0.019712192159017556
0.057,0.028982812021436093,0.003750647728066464,0.0026591159978491936,0.004820800891154933,0.010612973493311776,0.0201861551858335
0.058,0.028974657645862864,0.0037787423808302656,0.0026836963004018,0.004974497276098751,0.010577534578169052,0.020659231973205173
0.059,0.028948192852317648,0.003804926577535214,0.0027071320520785673,0.005128795397730779,0.010537993616297354,0.02113119711495723
0.06,0.0289037602425276,0.0038292326584561283,0.002729437478738148,0.005283596985787275,0.010494482261667267,0.021601825416177174
0.061,0.028841714153635716,0.003851693794698001,0.002750627433230571,0.005438801201937062,0.010447135662341483,0.022070892205640437
0.062,0.02876242007655846,0.0038723439291150903,0.002770717363434557,0.005594304720961412,0.010396092248036415,0.022538173652470714
0.063,0.02866625407016034,0.003891217718349081,0.0027897232805185156,0.005750001818440869,0.010341493514373839,0.023003447086299256
0.064,0.02855360217221073,0.0039083504760615935,0.0028076617274636925,0.005905784464975063,0.0102834838043501,0.023466491320136906
0.065,0.02842485980808642,0.003923778117431169,0.0028245497478820544,0.006061542426953896,0.010222210087597562,0.023927086975125918
0.066,0.02828043119820372,0.003937537104979114,0.0028404048551569808,0.006217163373889279,0.010157821738031455,0.024385016806299373
0.067,0.028120728765197472,0.003949664395780624,0.0028552450019319266,0.0063725329923049094,0.010090470310472515,0.02484006602844089
0.068,0.027946172541879664,0.0039601973901073895,0.002869088549970388,0.006527535106167595,0.010020309316821574,0.025292022641102502
0.069,0.02775718958098405,0.003969173881536713,0.002881954240409436,0.006682051803827286,0.009947494002344105,0.025740677751817122
0.07,0.02755421336763981,0.003976632008552135,0.002893861164428255,0.006835963571414686,0.009872181122604394,0.0261858258965575
0.071,0.027337683235432498,0.003982610207653599,0.002904828734351222,0.006989149432625379,0.009794528721568874,0.026627265356555734
0.072,0.027108043786817956,0.003987147167992983,0.0029148766552008986,0.007141487094798653,0.009714695911374126,0.027064798470680912
