time,LGLTMED,LRF,LADDLONG,LST,LTA,LGM
0.0,0.08623829503614543,0.19532816383185314,0.007830559374885483,0.0035952560376080692,0.0002994973980384607,0.037229810730353426
0.001,0.10013143329693887,0.1817823436377199,0.015100094134787046,0.0029347066705754463,0.007389767585272525,0.03202677966423681
0.002,0.11395333958244404,0.16830045893545154,0.022347319378798566,0.0022635094227484846,0.014431014470951695,0.026678991798579143
0.003,0.12769385739453842,0.15488978069260956,0.029567555866304215,0.0015817804457289233,0.021418084572173306,0.021186321101704205
0.004,0.14134287820068264,0.1415574748340802,0.036756162707527795,0.0008896411265486394,0.028345874615051354,0.015548754521157754
0.005,0.15489035591504802,0.12831059294148664,0.04390854488749282,0.0001872179573342511,0.03520933938636696,0.009766394044302596
0.006,0.1683263212823814,0.11515606325034723,0.05102016068521297,0.0005253575886593516,0.04200349946587983,0.003839458686588182
0.007,0.18164089612626308,0.102100681966877,0.05808652896462522,0.0012479491734104658,0.048723448815195615,0.0022317135961737945
0.008,0.19482430742462264,0.0891511049239258,0.06510323631473308,0.0019804157018211335,0.05536436220097652,0.008446664075517415
0.009,0.2078669011764874,0.07631383959282546,0.07206594401803838,0.0027226114198329937,0.06192150243192662,0.014804811502186578
0.01,0.22075915602478763,0.06359523746595638,0.07897039482691541,0.0034743860022466316,0.06839022739066025,0.021305450446570208
0.011,0.23349169660103125,0.051001486822137405,0.08581241952856446,0.0042355846296929685,0.07476599684292748,0.027947749732405668
0.012,0.2460553065590207,0.03853860588513356,0.0925879432797233,0.005006048054388062,0.08104437900805277,0.03473075096878827
0.013,0.25844094126656475,0.026212436383507818,0.09929299169407745,0.005785612654470693,0.0872210568756783,0.04165336718588986
0.014,0.27063974012607916,0.014028637518572593,0.10592369666644467,0.006574110476842356,0.09329183425498977,0.048714381580315165
0.015,0.28264303849717415,0.001992680346380544,0.11247630192043556,0.007371369268528263,0.09925264154395094,0.055912446376314574
0.016,0.2944423791965663,0.009890157421487305,0.11894716826888316,0.008177212496730842,0.10509954120750803,0.0632460818094311
0.017,0.30602952355265456,0.021614796194635893,0.1253327785785888,0.008991459357773285,0.11082873295520583,0.07071367523943925
0.018,0.31739646199374716,0.03317635885586926,0.13162974243223433,0.009813924775323852,0.11643655860993714,0.07831348039956025
0.019,0.32853542415102355,0.044570174688046034,0.13783480048248126,0.010644419388306911,0.12191950666054688,0.08604361678912237
0.02,0.33943888845944753,0.055791782876921034,0.14394482849339343,0.011482749529010792,0.12727421649184628,0.093902069216738
0.021,0.35009959124266443,0.06683693559285989,0.14995684106591517,0.012328717191963394,0.13249748228695463,0.10188668750109309
0.022,0.360510535270358,0.077701600655503,0.15586799504438792,0.013182119994122584,0.13758625659836743,0.1099951863362048
0.023,0.37066499777939615,0.08838196378682145,0.16167559260219258,0.01404275112705213,0.1425376535860202,0.11822514532794577
0.024,0.3805565379533411,0.09887443045971157,0.1673770840051948,0.014910399301736581,0.14734895192223332,0.12657400920839632
0.025,0.39017900385835796,0.10917562734963994,0.17297007005219797,0.015784848686764476,0.15201759736479384,0.13503908823435243
0.026,0.3995265388364529,0.1192824033985078,0.17845230419313196,0.01666587884071126,0.15654120500026025,0.1436175587761465
0.027,0.4085935873596865,0.1291918304999347,0.1838216943258415,0.017553264639514277,0.16091756116054468,0.15230646410262383
0.028,0.41737490035130587,0.13890120381579943,0.18907630427362598,0.01844677619977538,0.16514462501704263,0.16110271536800885
0.029,0.425865539981773,0.14840804173434766,0.1942143549458344,0.019346178798928984,0.16922052985805666,0.17000309280618406
0.03,0.434060883949364,0.15771008548026771,0.19923422518407358,0.020251232793222,0.17314358405700694,0.17900424713779572
0.031,0.4419566292560704,0.16680529838772729,0.20413445229658775,0.021161693534467247,0.17691227174031998,0.18810270119529254
0.032,0.4495487954899843,0.1756918648470774,0.20891373228363827,0.0220773112864192,0.18052525316494972,0.19729485177075815
0.033,0.45683372762520097,0.18436818893655063,0.21357091975772996,0.02299783114168371,0.18398136481596952,0.20657697169104364
0.034,0.46380809834948494,0.19283289274976606,0.21810502756237565,0.023922992939882433,0.18727961923477204,0.215945212124344
0.035,0.4704689099292088,0.201084814430323,0.22251522609492327,0.024852531187899044,0.19041920458833908,0.2253956051220396
