time,LGLTMED,LRF,LADDLONG,LST,LTA,LGM,RGLTMED,RRF,RADDLONG,RST,RTA,RGM
0.038,0.0375489,0.00511829,0.00116898,-3.73E-06,-0.0175696,0.00897335,0.00056727,0.0029274,-0.00627032,0.00065931,0.00707493,0.00312875
0.039,-0.00339309,0.00634908,-0.00546874,0.00189612,-0.0108455,0.00711874,-0.000399078,0.00480121,-0.00526539,-0.00355753,0.064089,0.00344111
0.04,-0.032787,-0.000659794,-0.00706531,-0.00169185,-0.00963975,0.00832138,0.000767221,0.0115373,-0.00487624,-0.00440597,0.0403619,0.00281493
0.041,-0.064474,-0.00767685,-0.00696863,-8.68E-05,-0.0160852,0.00280982,-0.00387281,0.0115389,-0.00417843,-0.00342317,0.0427159,3.20E-05
0.042,-0.0552105,-0.0107427,-0.00577678,0.00274359,-0.00179082,-0.0103401,-0.00120026,0.00235999,-0.00316053,-0.00122895,-0.0182797,-0.0018545
0.043,-0.0572476,-0.00101202,-0.00255859,0.00191564,0.0164724,-0.0189297,0.000541973,-0.0108198,-0.00394517,-0.00423987,-0.0501799,-0.000401859
0.044,-0.0794705,0.000150652,-0.0012631,-0.00287713,0.0191868,-0.0138077,-0.00353126,-0.0112245,-0.00193909,-0.00208607,-0.0301163,-0.00140695
0.045,-0.0541307,6.98E-05,0.00118143,-0.00278607,0.0149057,-0.002906,-0.0054867,-0.0104568,-0.00109244,-0.00270706,0.00803026,0.000625533
0.046,-0.0358237,-0.00216949,0.00357473,-0.00208463,0.0140052,0.00188208,0.000474022,-0.0109586,-0.000471336,0.000912836,0.0282541,-0.000405624
0.047,-0.0849125,0.0016735,0.00257973,0.000448114,0.000608016,0.0103335,0.000314032,-0.00234863,-0.00402395,0.00114144,0.0348324,0.00191082
0.048,-0.0093477,0.00793738,-0.00178479,0.00206649,-0.0130916,0.00750432,0.000444219,0.00286978,-0.00410064,-0.0026341,0.015552,0.00330447
0.049,0.0408362,0.0102127,-0.00553328,2.48E-05,-0.011848,0.00408262,0.00117183,0.000740343,-0.00434187,-0.00278658,0.0131185,-0.000800986
0.05,0.0273088,0.00605415,-0.0028484,0.00164796,-0.00513129,-0.00145427,0.000362348,0.00195534,0.000158903,-0.00297967,0.0155997,0.00119184
