time,LGLTMED,LRF,LADDLONG,LST,LTA,LGM,RGLTMED,RRF,RADDLONG,RST,RTA,RGM
0.039,-0.0210525,-0.0343758,-0.0333775,-0.0231298,0.153923,-0.0096501,-0.00160098,0.00975649,0.00575947,-0.00351015,-0.000861671,-0.00213414
0.04,-0.00727131,-0.00734511,-0.0316633,-0.0192074,-0.0108814,-0.0216316,0.00327089,-0.00142843,0.00564749,-0.00387071,-0.0136391,-0.0119575
0.041,-0.0213092,0.0192767,-0.00184753,-0.0151954,-0.00627441,0.0192632,0.00174995,0.00282125,-0.00612396,-0.00485963,-0.00982425,-0.00931164
0.042,-0.0294737,0.0211308,0.0140095,-0.00771647,0.00894338,0.0401026,-0.00128006,0.0124263,-0.00699209,0.001156,0.000565922,1.18E-05
0.043,-0.00813308,0.0220716,0.0196277,0.00264654,-0.0181338,0.00334986,0.00303128,0.00357175,-0.00796249,0.000447871,0.0520728,0.00259524
0.044,0.0266799,0.0190876,0.0156707,0.00707448,0.132722,0.0100094,0.00980049,0.011339,-0.0117974,0.00248179,0.104155,0.000586375
0.045,0.0198714,0.00183259,0.00432007,-0.000810233,-0.0589469,0.0185578,-0.00081154,0.00152948,-0.0157611,0.00207441,0.095491,-0.00356198
0.046,0.0310885,0.0182415,-0.0049249,0.000689989,-0.231025,0.00547126,-0.00164827,-0.00268485,-0.0119237,0.0038072,0.0489482,-0.00159852
0.047,0.0445861,0.0146176,-0.00256773,0.00122779,-0.11506,-0.033858,-0.00492228,0.0359036,-0.0103538,-0.00116756,0.0108512,-0.00144573
0.048,0.046433,0.000735568,0.0120376,0.0020522,-0.0354956,-0.0375062,-0.0027034,0.0702656,-0.0104326,-0.00216692,-0.000884336,0.00545443
0.049,0.0266444,0.00253869,0.00962873,0.0062425,0.0299647,0.0454725,-0.000487795,0.0634245,-0.00756789,-0.00224101,0.011198,0.00965397
0.05,0.0176359,0.00659895,0.00397015,0.00894162,0.0310113,0.0487396,0.00202802,0.0272046,-0.00174023,-0.000166708,0.0784229,0.0123836
0.051,0.0447867,0.00162256,-0.0033845,0.00254301,-0.0500116,-0.00484046,0.00179087,-0.0433797,-0.00299772,9.19E-05,0.117655,0.0142591
0.052,0.0672354,-0.00873206,-0.00386434,-0.00133647,-0.0104211,-0.00971317,-0.00150629,-0.0767218,-0.00246503,0.00220038,0.0667836,0.0140589
0.053,0.0697324,-0.0211111,0.00347219,0.0043405,0.086046,-0.0617466,-0.00298268,-0.100687,0.00873426,0.00524644,-0.0219043,0.010249
0.054,0.0775856,0.000802959,0.00980119,0.00829917,-0.0367546,-0.107563,-0.00355548,-0.0951924,0.0104839,0.00312835,-0.147414,0.00281505
0.055,0.0651008,0.0252765,0.0127058,0.00963876,-0.015013,-0.0275315,-0.001394,0.0264199,0.0101307,0.000729093,-0.191239,-0.00154806
0.056,0.0260794,0.0379696,0.0134268,0.0105065,-0.0269203,0.0157198,0.000145728,0.0670175,0.00830303,0.000793923,-0.145899,-0.00804946
0.057,0.0717857,0.0303304,0.00343353,0.00633079,0.0209507,0.033534,0.00137061,0.0357709,-0.000784577,0.00087914,-0.139026,-0.00816419
0.058,0.0873167,-0.000104256,0.00867525,0.00687901,0.139019,0.0244357,0.000146198,-0.033752,-0.00033731,0.00220266,-0.0857656,-0.00984394
0.059,0.0471543,-0.0136942,0.0163387,0.0148949,0.0547823,0.0238643,-0.00108448,-0.0765598,-0.00072266,-0.000732121,-0.0528734,-0.012796
0.06,-0.0101655,-0.0107808,0.0126899,0.0132805,0.0673005,0.0510702,0.000426703,-0.0889895,0.00630767,0.00305733,-0.000853534,-0.0136706
0.061,-0.10594,-0.0234404,0.0132857,0.00720991,-0.114925,0.00077417,0.00101914,-0.103356,0.0109954,0.000748866,0.0670885,-0.010027
0.062,-0.166544,-0.0132451,0.0138387,0.00703946,-0.193176,-0.0366954,0.00374599,-0.0661723,0.0139551,-3.32E-05,0.0604646,-0.00338582
0.063,-0.12807,-0.00523612,0.00608768,0.0041994,0.02113,-0.0262495,0.00311453,-0.0227878,0.0154912,-0.00539815,-0.0102175,0.00168521
0.064,-0.123383,-0.00766258,0.00129691,0.00171344,0.0638427,-0.0145784,0.00309126,0.0055914,0.016206,-0.005585,-0.0227728,0.0073343
0.065,-0.0969825,-0.010458,-0.00331107,-0.00227972,0.0750826,0.00474113,-0.00334532,0.0307334,0.0142525,-0.00181754,-0.00303413,0.00136559
