Time,GRW1.F,,,GRW1.M,,,GRW1,,,GRW1.DA,,,GRW2.F,,,GRW2.M,,,GRW2,,,GRW2.DA,,,GRW3.F,,,GRW3.M,,,GRW3,,,GRW3.DA,,
11.13,-0.553136,-1.28434,2.03161,-848.177,-65.5958,-2061,14.016,-322.669,-1.56505,122.3,105.23,246.7,1.78167,-2.26918,3.1715,-535.015,-149.323,145.536,-187.471,286.49,-7.57538,125.583,60.6738,308.138,-0.179232,-5.13565,1.25497,-95.8347,-78.7787,422.823,213.433,287.204,0.62162,166.268,98.1279,268.001
11.14,-0.416648,-1.08288,1.94475,-736.892,-151.525,-2036.77,14.016,-322.669,-1.56505,119.11,102.092,248.955,1.86055,-1.75897,3.72748,-269.552,-56.4943,100.753,-187.471,286.49,-7.57538,115.262,63.4742,316.608,0.0567243,-4.96887,2.27541,-104.741,5.48143,435.97,213.433,287.204,0.62162,155.395,88.572,270.654
11.15,-0.419408,-1.24105,1.50743,-591.787,-258.584,-2001.92,14.016,-322.669,-1.56505,129.464,105.548,251.328,1.85811,-2.22969,2.7738,-295.205,-56.58,45.2804,-187.471,286.49,-7.57538,128.794,56.1827,309.806,-0.142682,-5.17669,1.64686,-269.526,14.0764,398.564,213.433,287.204,0.62162,162.353,94.9517,268.421
11.16,-0.488758,-1.4417,1.50803,-765.292,-298.442,-1998.36,14.016,-322.669,-1.56505,133.712,107.958,251.273,2.05478,-1.64064,3.48824,-215.493,-128.072,48.4551,-187.471,286.49,-7.57538,115.189,59.4994,321.394,0.440282,-5.42509,1.49792,-154.797,-61.9141,407.573,213.433,287.204,0.62162,164.565,73.6204,274.64
11.17,-0.261545,-1.19314,0.892231,-663.979,-131.973,-2008.44,14.016,-322.669,-1.56505,143.211,106.338,257.636,1.70167,-2.3479,2.69499,-158.268,-56.4123,101.38,-187.471,286.49,-7.57538,131.063,57.7309,305.933,0.00146076,-4.84669,0.0828204,-98.5236,-42.7613,359.288,213.433,287.204,0.62162,179.021,88.9895,270.017
11.18,-0.329355,-0.98607,0.978782,-945.653,-85.7415,-2023.76,14.016,-322.669,-1.56505,135.212,108.598,251.53,2.21312,-2.18928,3.48757,-403.816,-172.124,80.5509,-187.471,286.49,-7.57538,122.118,57.6019,315.31,-0.0153419,-4.96972,1.41344,-88.42,120.85,378.789,213.433,287.204,0.62162,164.124,90.6219,269.823
11.19,-0.598904,-1.51244,2.82241,-752.869,-467.654,-2061.65,14.016,-322.669,-1.56505,118.185,101.98,248.397,1.43066,-1.60351,3.96772,-404.077,-59.9309,111.781,-187.471,286.49,-7.57538,112.005,70.172,311.74,0.218819,-5.17562,2.59077,74.5185,67.471,426.143,213.433,287.204,0.62162,153.409,85.1722,272.421
11.2,-0.756714,-1.15281,2.73637,-728.02,-339.431,-2012.7,14.016,-322.669,-1.56505,112.845,105.458,236.719,1.62553,-1.87744,3.56953,-243.932,-166.122,57.4267,-187.471,286.49,-7.57538,117.743,65.5159,310.887,-0.118121,-5.05115,2.97777,220.886,21.2011,408.516,213.433,287.204,0.62162,149.48,92.2716,268.66
11.21,-0.483543,-1.3993,2.82064,-807.087,-299.134,-2096.39,14.016,-322.669,-1.56505,116.386,99.7277,250.937,1.70385,-1.79872,3.64867,-160.347,-161.325,31.1844,-187.471,286.49,-7.57538,116.242,64.9684,313.448,-0.0273308,-4.80314,2.35247,-174.989,34.6804,350.429,213.433,287.204,0.62162,153.905,90.6656,269.674
11.22,-0.392299,-1.15264,2.55792,-678.287,-258.424,-2072.84,14.016,-322.669,-1.56505,114.257,98.7193,251.204,1.51137,-1.83859,4.36475,-336.965,-177.58,100.234,-187.471,286.49,-7.57538,112.843,70.9007,309.421,0.343267,-5.13413,2.59231,-48.5007,113.802,385.971,213.433,287.204,0.62162,153.21,82.4569,273.825
11.23,-0.32892,-1.09797,1.23696,-870.315,-45.8559,-2120.77,14.016,-322.669,-1.56505,131.594,104.891,253.323,2.32513,-2.1889,2.21551,-435.567,-108.631,140.289,-187.471,286.49,-7.57538,134.654,43.617,316.729,0.398751,-5.34226,1.49732,5.80343,-42.913,362.241,213.433,287.204,0.62162,164.343,75.0877,274.269
11.24,-0.35157,-1.26069,1.76986,-805.212,-404.213,-2024.82,14.016,-322.669,-1.56505,125.463,101.235,254.418,2.2957,-1.67906,4.91777,-376.472,-106.32,86.9425,-187.471,286.49,-7.57538,108.851,64.976,323.818,-0.058543,-5.50813,1.56996,-111.7,-15.1232,436.382,213.433,287.204,0.62162,164.091,92.1355,269.391
11.25,-0.395348,-1.23787,2.2034,-740.898,-321.591,-2123.12,14.016,-322.669,-1.56505,119.327,100.172,252.288,2.05498,-1.60141,3.56771,-324.135,-154.663,147.131,-187.471,286.49,-7.57538,114.174,60.0583,322.071,-0.26335,-4.84565,1.33191,-98.3469,105.434,339.293,213.433,287.204,0.62162,164.631,101.184,266.889
11.26,-0.551222,-1.29212,2.38734,-547.921,-174,-1986.98,14.016,-322.669,-1.56505,118.424,103.001,246.897,2.01643,-2.07226,3.32945,-397.301,-126.569,154.681,-187.471,286.49,-7.57538,121.898,58.7995,314.218,-0.107439,-4.59628,2.11643,-89.3612,-56.3957,460.638,213.433,287.204,0.62162,155.276,92.9061,268.661
11.27,-0.484327,-1.31069,2.38556,-730.376,-277.922,-2018.7,14.016,-322.669,-1.56505,118.786,101.476,249.72,1.63056,-1.87742,4.76163,-450.18,-245.493,86.3798,-187.471,286.49,-7.57538,111.518,71.0969,310.975,-0.268311,-4.84528,1.72323,40.5095,-57.9252,507.191,213.433,287.204,0.62162,160.422,98.85,266.83
11.28,-0.300588,-1.26597,2.64711,-772.107,-236.698,-2061.81,14.016,-322.669,-1.56505,115.559,96.4784,256.643,1.58056,-2.03449,2.0597,-331.756,-225.499,39.7334,-187.471,286.49,-7.57538,134.647,52.4983,307.843,-1.04575,-5.09195,4.14022,-140.775,-18.1413,397.781,213.433,287.204,0.62162,140.886,104.175,258.394
11.29,-0.345891,-1.24203,2.29419,-783.659,16.5242,-2088.12,14.016,-322.669,-1.56505,118.43,98.5738,254.438,1.62766,-2.11279,3.88742,-352.062,-131.516,73.0903,-187.471,286.49,-7.57538,118.524,67.281,307.61,-1.07522,-4.97167,-0.0872664,-9.20345,-14.6716,310.265,213.433,287.204,0.62162,181.006,184.64,257.797
11.3,-0.622842,-1.30719,2.20613,-699.65,-299.252,-2071.87,14.016,-322.669,-1.56505,120.648,105.766,244.523,1.82424,-1.79832,4.36343,-398.707,-89.7831,103.783,-187.471,286.49,-7.57538,112.398,67.3114,315.41,-0.799718,-4.88757,1.09031,-147.448,16.1688,374.063,213.433,287.204,0.62162,167.424,126.259,260.707
11.31,-0.418214,-1.26246,1.94561,-774.185,-298.814,-2026.05,14.016,-322.669,-1.56505,122.979,102.131,251.672,1.43232,-1.79963,4.20614,-398.587,-156.077,79.5028,-187.471,286.49,-7.57538,113.164,71.1947,308.516,-0.306929,-4.6384,1.48772,-122.6,3.97183,473.017,213.433,287.204,0.62162,162.217,101.657,266.214
11.32,-0.371588,-1.04078,2.03578,-602.499,-363.607,-1977.32,14.016,-322.669,-1.56505,117.078,100.344,250.352,1.97435,-1.09174,3.4091,-423.72,-185.74,131.388,-187.471,286.49,-7.57538,107.757,59.923,331.059,-0.460898,-4.80506,0.546587,-223.281,-75.2197,459.44,213.433,287.204,0.62162,173.51,130.139,264.521
11.33,-0.46195,-1.12862,2.29942,-878.126,-338.743,-1982.44,14.016,-322.669,-1.56505,116.143,101.359,247.74,2.3632,-1.87496,2.21534,-418.639,-128.171,120.544,-187.471,286.49,-7.57538,130.243,43.1503,321.572,-0.00936836,-5.01158,0.943893,-215.772,-16.9402,413.427,213.433,287.204,0.62162,169.334,90.5687,269.893
11.34,-0.442093,-1.28635,1.68431,-655.158,-341.876,-1983.47,14.016,-322.669,-1.56505,127.37,104.707,251.033,1.826,-1.52373,4.99922,0.492866,-0.411278,1.34936,-159.091,190.623,-7.69409,106.951,69.9349,320.156,0.101274,-5.13477,2.0413,-94.7338,-73.8392,335.764,213.433,287.204,0.62162,158.32,87.1597,271.13
11.35,-0.392899,-1.0384,2.03325,-780.746,-108.755,-2027.82,14.016,-322.669,-1.56505,117.054,100.937,249.275,2.17125,-2.07174,2.93143,-508.738,-91.6828,141.693,-187.471,286.49,-7.57538,125.25,53.4733,316.344,-0.382586,-5.38461,0.93951,-198.172,-225.24,268.201,213.433,287.204,0.62162,170.103,112.157,265.936
11.36,-0.235877,-1.35395,1.50879,-774.638,-109.78,-1998.05,14.016,-322.669,-1.56505,131.904,98.8854,260.117,1.66553,-1.83808,3.80778,-384.355,-212.417,142.558,-187.471,286.49,-7.57538,115.767,66.3754,312.181,0.0486827,-4.76116,2.90134,-32.4302,-46.2125,360.129,213.433,287.204,0.62162,148.643,89.0387,270.586
11.37,-0.415744,-1.08518,2.2104,-723.446,-235.669,-2002.27,14.016,-322.669,-1.56505,116.148,100.652,249.038,1.77996,-1.75924,3.1715,-602.734,-219.487,116.785,-187.471,286.49,-7.57538,119.017,60.6973,315.335,-0.440222,-4.84493,2.19072,10.9035,-51.0962,372.391,213.433,287.204,0.62162,155.669,101.362,264.808
11.38,-0.464702,-1.12615,1.68075,-679.049,-278.579,-2036.83,14.016,-322.669,-1.56505,123.823,105.455,247.577,1.69622,-1.52416,2.0592,-463.036,-109.887,163.146,-187.471,286.49,-7.57538,126.508,50.5207,318.058,-0.151569,-5.25889,2.35132,-7.00903,74.4869,407.689,213.433,287.204,0.62162,155.91,93.6882,268.349
11.39,-0.508867,-1.24141,1.94847,-775.301,-297.647,-1974.14,14.016,-322.669,-1.56505,122.502,104.637,247.711,1.54477,-2.23074,2.69565,-405.768,-171.181,120.782,-187.471,286.49,-7.57538,129.609,60.1846,304.702,-0.136688,-5.25998,1.17734,10.5123,82.9669,260.147,213.433,287.204,0.62162,167.383,96.6223,268.511
11.4,-0.576215,-1.24125,2.56237,-867.892,-465.069,-1991.3,14.016,-322.669,-1.56505,115.846,102.674,245.098,1.78802,-1.56309,5.23781,48.208,-42.1435,141.22,-160.659,261.376,-7.68822,106.616,71.1518,318.84,0.185329,-5.3005,1.96424,-24.543,51.9377,419.529,213.433,287.204,0.62162,159.666,84.61,272.002
11.41,-0.53396,-1.16389,1.58876,-1041.63,-169.093,-2110.41,14.016,-322.669,-1.56505,126.226,108.577,245.356,1.58728,-1.83834,3.80811,-321.489,-120.558,46.1966,-187.471,286.49,-7.57538,115.769,67.3729,310.808,0.11109,-4.92838,1.25845,-180.922,63.9406,405.494,213.433,287.204,0.62162,165.676,84.9553,271.291
11.42,-0.574258,-1.35744,2.82533,-733.229,-361.749,-2010.6,14.016,-322.669,-1.56505,115.662,101.489,247.069,1.77867,-1.87692,2.77413,-339.584,-122.441,25.503,-187.471,286.49,-7.57538,124.081,57.3334,313.461,-0.30841,-5.63246,1.64518,-226.302,21.0879,418.631,213.433,287.204,0.62162,163.717,100.618,266.866
11.43,-0.324567,-1.37739,2.03134,-712.103,-5.66198,-2078.94,14.016,-322.669,-1.56505,124.14,99.078,256.741,1.86335,-1.99432,4.20432,-313.961,-91.6119,94.5038,-187.471,286.49,-7.57538,115.377,66.0971,313.056,-0.311554,-5.30084,1.87967,-227.994,81.3506,412.699,213.433,287.204,0.62162,160.476,99.4112,266.636
11.44,-0.23774,-1.14846,1.59343,-709.708,-363.814,-2034.93,14.016,-322.669,-1.56505,125.782,98.4859,258.305,2.25051,-2.07147,3.16952,-492.695,-104.597,166.489,-187.471,286.49,-7.57538,123.167,54.6234,317.372,-0.0458975,-5.01197,0.552041,50.4033,45.2017,408.444,213.433,287.204,0.62162,173.715,94.7527,269.475
11.45,-0.464384,-1.53233,1.8575,-811.587,-235.393,-2041.42,14.016,-322.669,-1.56505,129.521,104.037,253.14,2.16774,-1.52258,2.53406,-303.785,-152.192,200.796,-187.471,286.49,-7.57538,120.999,49.455,324.917,-0.240584,-5.09279,2.8197,-219.133,-42.6756,405.11,213.433,287.204,0.62162,151.028,94.8768,267.295
11.46,-0.323898,-1.24574,2.56409,-729.515,-362.574,-1974.87,14.016,-322.669,-1.56505,115.912,97.1995,255.426,1.86184,-1.64129,4.12485,-119.702,-169.641,115.26,-187.471,286.49,-7.57538,111.698,65.707,318.602,-0.0656973,-5.09336,2.11742,-171.434,10.5904,345.125,213.433,287.204,0.62162,157.426,91.7771,269.261
11.47,-0.43575,-1.11067,2.65005,-723.386,-151.273,-2003.1,14.016,-322.669,-1.56505,112.739,99.3376,248.578,1.93774,-1.64103,3.56821,-294.09,-288.099,129.454,-187.471,286.49,-7.57538,114.698,61.4955,319.739,-0.519106,-5.09382,1.87684,-184.973,-30.6713,179.821,213.433,287.204,0.62162,159.773,105.461,264.181
11.48,-0.435101,-1.31552,2.82588,-668.237,-131.3,-2011.64,14.016,-322.669,-1.56505,114.963,98.7531,251.699,1.66421,-1.44582,3.80778,-427.216,-125.138,102.224,-187.471,286.49,-7.57538,110.792,66.392,319.017,-0.361951,-5.34162,2.58357,-88.6998,-11.5511,405.919,213.433,287.204,0.62162,154.188,97.9751,266.124
11.49,-0.417142,-1.24064,2.12034,-757.507,-257.047,-2044.28,14.016,-322.669,-1.56505,120.333,101.13,251.416,2.05277,-1.64064,3.0114,-405.989,-111.227,119.907,-187.471,286.49,-7.57538,118.582,55.7191,321.367,-0.134892,-4.8873,1.02046,-100.933,-20.2659,411.144,213.433,287.204,0.62162,168.206,97.5301,268.419
