time,LGLTMED,LRF,LADDLONG,LST,LTA,LGM,RGLTMED,RRF,RADDLONG,RST,RTA,RGM
0,0.00143341,-0.00259594,-0.0259703,0.00240648,-0.0104139,-0.000547272,-0.00794368,-0.00390381,0.00055015,0.0393867,-0.00502521,0.00555322
0.001,-0.00740407,0.000932162,-0.0391935,0.000916296,-0.0258722,-0.00473304,0.0340325,-0.00405146,-0.00389896,0.153213,0.00436879,-0.0467688
0.002,-0.0123059,-0.00157253,-0.0476386,0.00172887,-0.026781,-0.00250876,0.0642796,0.000199727,-0.00285458,0.145631,0.0167161,-0.0373269
0.003,-0.00870328,-0.00278712,-0.0536562,0.00058594,-0.0305734,-0.00669937,0.0654306,0.00241725,1.02E-05,-0.0318653,0.00728552,0.0024034
0.004,-0.005756,0.00217037,-0.0604878,0.00207877,-0.0290331,-0.00449248,0.0594595,-0.00230509,-0.00263879,-0.129963,-0.00532282,0.0354652
0.005,-0.0068207,0.00475431,-0.0597497,0.00133735,-0.0188121,-0.00779263,0.0795987,-0.00849715,-0.00348598,-0.173095,-0.00769983,0.0267333
0.006,-0.000601774,0.00282709,-0.0561507,-0.00345714,-0.0163852,-0.00469727,0.0632187,-0.00885618,-0.000402838,-0.156646,-0.00138964,0.0521567
0.007,-0.000825917,0.000963561,-0.0543688,-0.00710424,-0.0226516,-0.000390921,-0.0166376,-0.00706256,-0.00102548,0.0107416,-0.00380344,0.0430103
0.008,-0.00229722,-0.00145086,-0.0444032,-0.00135027,-0.00523581,-5.60E-05,-0.0752514,-0.00770812,-0.00169752,0.0518241,-0.0134288,0.0068434
0.009,-0.0010397,-0.00197942,-0.0372838,0.00191851,0.017585,0.00180744,-0.0221026,-0.00897168,-0.00425508,-0.0213139,-0.013491,0.00673057
0.01,0.000514551,-0.000931605,-0.0373022,0.00485501,-0.00633899,0.00276435,0.0282647,-0.0065865,-0.00534498,-0.0363706,-0.00307935,-0.039833
0.011,0.00176493,-0.000447316,-0.0270613,0.00869572,-0.0186827,0.00617731,0.00160137,-0.0026906,-0.00283288,0.00897228,0.0220779,-0.0554342
0.012,0.00394166,0.0034376,-0.0208847,0.0125381,-0.00811707,0.00472582,-0.00116867,-0.00521716,-7.56E-05,0.0318934,0.0311557,-0.0676256
0.013,0.00369624,0.00644705,-0.0205687,0.00906658,0.0183805,0.000852832,-0.0314085,-0.00409121,-0.00317509,0.0325791,0.0152938,-0.0386248
0.014,0.00835967,0.00430333,-0.015385,0.00927085,0.0428467,0.00371319,-0.105989,-0.00235828,-0.00327835,0.0182235,-0.00996432,-0.0218706
0.015,0.00542365,0.000661127,-0.0141265,0.00612998,0.0100781,0.00628548,-0.120296,0.00151565,-0.000686593,0.0234731,-0.0156532,-0.00821799
0.016,-0.000533021,-0.00204743,-0.0121496,0.00116373,-0.00910086,-0.0057777,-0.0548152,0.00326703,-0.00363446,0.000258086,-0.0161415,-0.0217734
0.017,0.000559465,0.000135038,-0.00327735,-0.00227989,0.00455163,-0.00440451,0.0224238,0.00198897,-0.00662208,-0.0381569,-0.0154153,0.0113282
0.018,-0.00228742,0.000179567,-0.00116448,-0.00329524,0.000389404,0.00460247,0.083701,0.000435671,-0.00445284,0.0853733,-0.0192833,0.025488
0.019,0.00374182,-0.00192339,-0.00206736,-0.006164,0.00314571,0.00445485,0.0570387,0.00532758,0.000442791,0.124089,-0.00974175,-0.0363489
0.02,2.90E-05,-0.0052674,0.00111591,-0.00448467,0.00947607,-0.00027386,0.0099013,0.00659885,-0.00138298,0.0967073,0.0119942,-0.0572837
0.021,-0.00549362,-0.00131543,0.00511143,-0.00467085,0.0178645,-0.00470612,0.0222402,0.0039472,-0.000760986,0.0948312,0.0157201,0.0271013
0.022,-0.000620983,-0.00289151,0.0136634,-0.000316113,0.0154979,-0.00243848,0.00766814,0.00195065,-0.00194948,-0.0301624,0.0102917,0.0898849
0.023,0.00243853,-0.00389694,0.0164744,0.00155975,0.04876,0.000421261,-0.0649711,0.0054901,0.00116996,-0.0851234,-0.00123937,0.0596777
0.024,0.00154798,-0.00433506,0.0154478,-0.00148467,0.0269952,0.000207787,-0.0919371,0.00113375,0.00464504,-0.0398654,-0.0197926,0.0622079
0.025,-0.00146265,-0.00237628,0.0173624,-0.00243005,0.00022005,-0.00369192,-0.0369097,0.000778109,-5.48E-05,-0.0454546,-0.0221763,0.0367041
0.026,-0.000491197,0.00197964,0.0155603,-0.00219123,0.0214901,-0.00639695,0.0540621,0.00380606,0.00508929,0.000978929,-0.00777552,-0.0211741
0.027,-0.0019478,-0.00225257,0.0164977,-0.00168212,0.0046903,-0.00607646,0.0855018,0.00105441,0.00147335,0.0665148,0.00236521,-0.0703074
0.028,0.00118583,-0.00194851,0.0134997,-0.00364653,-0.0371154,-0.00608491,0.0580486,-0.0016872,0.00284096,0.026981,0.0213855,-0.0933711
0.029,0.00219509,-0.00198882,0.0105645,-0.00228196,-0.0340971,0.000297167,0.00160865,-0.00259687,0.00523376,-0.0065155,0.0352613,-0.0757565
0.03,0.00382564,-0.000234129,0.0101573,-0.00246585,0.00271257,0.00605808,-0.0374561,-0.000767826,0.00347093,0.00906341,0.00859653,-0.0147181
0.031,0.0014977,-0.00461508,0.00649765,-0.00358092,-0.024073,0.00204997,-0.021944,-0.00414257,0.000304398,0.0636466,-0.00764944,0.0140895
0.032,0.00131148,-0.00169866,0.00173474,0.00017954,-0.0635122,-0.00714298,0.0041766,-0.00296195,0.00428288,0.0836726,-0.0116571,0.0152878
0.033,0.000515884,0.00180742,0.00106647,-0.0024667,-0.0426753,-0.00595017,-0.0207538,-0.00180883,0.00198078,0.0623873,-0.0144231,0.00234813
0.034,-0.000894172,0.000722035,0.00236462,0.00313921,-0.0115983,-0.00260325,-0.0131223,0.000838914,-0.000192054,-0.0051652,0.000221561,-0.0100419
0.035,-0.000787697,-0.00128574,0.00288954,0.00266407,0.00472649,-0.000448581,-0.0675329,0.00162123,0.00508868,-0.0705572,0.00328407,-0.00567018
0.036,-0.00222152,0.000368557,0.00356258,0.0067986,0.00450982,0.00723981,-0.100347,0.0014505,0.00530932,-0.0963448,0.0103292,0.00115922
0.037,-0.00397927,0.00447084,0.000420806,0.0106672,0.0280778,0.00796093,-0.00378777,0.000628167,0.00321338,-0.053602,-0.000922021,-0.00232955
0.038,-0.00697949,0.0046183,0.00597959,0.00847516,0.049831,0.00691168,0.0504052,-0.00359662,0.00245769,-0.0668706,-0.00727899,0.0363962
0.039,-0.00267803,0.00569811,0.0113899,0.00571517,0.00906115,0.0117266,0.0742174,0.000368853,0.00456082,-0.0189544,-0.00477753,0.0538946
0.04,-0.00328054,0.00343964,0.0081046,0.00146691,0.0138093,0.0117247,0.0536765,-0.00273795,0.00157903,0.0260908,0.00169809,0.0309596
0.041,-0.000848724,0.00272524,0.00557811,0.000910858,0.0192092,0.00568046,0.0568735,-0.00712114,0.00235184,0.00849245,0.00512887,0.00696032
0.042,-0.000260513,0.00202644,0.00502059,-0.00511725,-0.0211386,-0.000617347,0.00263625,-0.00454167,0.00351016,0.00885915,-0.00119912,0.0374236
0.043,-0.00181534,0.00164437,0.00763879,-0.00167229,-0.0376667,-0.00412945,0.0157678,-0.00262744,-0.00167333,0.021427,-0.00538452,-0.0122628
0.044,0.000596656,-0.00269856,0.00975323,-0.00463109,-0.00840988,-0.00242734,0.0516823,-0.00290034,-0.00253143,0.0337103,0.0011172,0.00618313
0.045,0.00331977,-0.00734535,0.00584949,-0.00179228,0.0202472,-0.00559365,-0.0334007,-0.00321827,0.000311525,0.00208505,-0.00488713,0.0423659
0.046,0.000866904,-0.00589093,-0.00348701,-0.00292581,0.0165724,-0.00539824,-0.109519,-0.00235309,0.00745221,-0.0227817,-0.00142273,0.0202479
0.047,0.00117805,-0.00474514,-0.0051605,-0.000404921,0.00742433,-0.00490022,-0.0967436,-0.000601113,0.00483784,0.0192348,-8.35E-05,-0.0129268
0.048,0.00456275,-0.00329567,-0.00621667,0.00210642,0.0217903,-0.00624037,-0.0264977,0.0054044,-0.00144449,0.0155269,0.00889994,-0.0651576
0.049,0.00400503,0.00364973,-0.00423834,0.00216513,0.0138807,-0.00270649,0.051521,0.00590706,-0.00591963,0.0237743,0.0169847,-0.0791258
0.05,0.00286335,0.0032786,0.00105795,-0.00206197,0.00473285,0.0017347,0.0708426,0.00244035,-0.00768968,-0.011268,0.00677357,-0.00420181
0.051,0.00296832,0.00414036,0.0011071,0.000409069,-0.00934201,0.00342282,0.0479916,0.00141845,-0.00402331,-0.0340692,-0.0107541,-0.000305427
0.052,0.00187635,0.00196526,0.000772324,-0.000495248,-0.0277613,0.00296969,-0.000839044,0.0016243,-0.00195201,-0.00313343,-0.0154653,-0.0454538
0.053,0.00385632,-0.00171963,0.00339051,-0.00264091,-0.032847,0.00281693,0.0101042,-0.000906744,-0.00484267,0.0116515,-0.00675575,-0.0532601
0.054,0.00157886,-0.000810327,-0.000519818,-0.00175714,-0.0188112,-0.00222478,-0.00616718,-0.0015947,-0.000496157,0.0148655,0.0068283,-0.0218554
0.055,0.000835972,-0.000799607,-0.00151962,-0.00150698,-0.0146435,-0.00818984,0.0672141,0.000173186,-0.000210802,0.0110852,0.00545168,0.0350832
0.056,-0.00417802,0.00472205,0.00311589,-0.00280584,0.00164268,-0.00805951,0.118217,-0.00353489,-0.00063542,0.00640733,-0.00447582,0.0474272
0.057,0.000873124,0.00354774,0.00329366,-0.00595759,0.022437,-0.00183126,0.0472932,-0.00264434,-0.00116506,-0.00406342,-0.00891575,0.0399489
0.058,-0.00232804,0.00178006,-0.00467126,-0.00394004,0.0300564,-0.00201189,-0.0241932,-0.00691599,-0.00516162,-0.0011156,-0.0100028,0.00902015
0.059,-0.00249571,0.00246818,-0.00401699,-0.00315669,-0.00234566,-4.88E-05,-0.0707262,-0.00230462,-0.00622003,0.00669028,0.00996824,-0.0322178
0.06,0.000975398,0.0010304,-0.00331058,0.00250332,-0.00915454,0.00101473,-0.104319,0.00112786,-0.00159528,0.0226947,0.0146872,-0.0431603
0.061,-0.00107455,0.00142908,-0.00226708,0.0032824,-0.0276034,0.00942682,-0.07897,0.00369684,0.00291463,0.00293096,0.00568369,-0.015542
0.062,-0.000104537,-0.00305543,-0.00365152,0.00437627,-0.0106906,0.0175644,-0.0194355,0.00663287,0.00547981,-0.0263809,0.00187801,0.0180224
0.063,-0.00161164,-0.00296823,-0.00412371,0.00548576,0.0626515,0.0104753,0.0440666,0.00567138,0.00457451,-0.0548889,-0.00314312,0.0407939
0.064,-0.00437845,-0.000755626,-0.00400382,0.00234217,0.00901694,-0.00238428,0.0907882,0.000817684,0.00477437,-0.0664288,-0.000840316,0.0445713
0.065,-0.00474502,-0.000693964,-0.00422033,0.00501801,-0.0528811,-0.0069845,0.0447266,0.0100802,0.000886923,-0.0271122,0.00572908,0.0064887
0.066,-0.00179627,-0.00278622,-0.00936155,0.00161077,-0.0333233,-0.00638609,0.00227666,0.00904451,-0.00343184,-0.00922817,0.00160538,0.00162756
0.067,-0.00651711,0.00212067,-0.00631237,0.00127364,-0.0134791,-0.000595705,-0.0253337,0.00472609,-0.00879867,0.0358017,-0.0022318,-0.0218939
0.068,-0.00517068,0.00151229,-0.00392717,0.00583405,-0.000344079,-0.00365586,-0.0839487,0.00688306,-0.0075886,0.0753783,-0.00487442,0.0210682
0.069,0.00133355,0.000879636,0.000844837,0.000638278,0.00275704,-0.00214107,-0.148286,0.00390741,-0.00560126,0.0323299,-0.013348,0.0545216
0.07,-0.000729677,-0.00649393,-0.000235429,-0.000892254,0.0245454,0.00150603,-0.118251,-0.00177333,-0.00436009,0.00188816,-0.00232582,0.0830306
0.071,0.000550257,-0.00565661,0.000768094,-0.00212178,0.0366687,0.00453818,-0.0273606,-0.00437613,-0.00538536,0.021282,-0.00629275,0.0583374
0.072,0.00365597,-0.00484832,-0.0022468,-0.0039728,0.0363987,0.00146096,-0.00551743,-0.00422119,-0.0083634,-0.0398126,-0.00479773,-0.00894781
0.073,0.0031021,0.00051122,0.00262339,-0.00523032,-0.00372774,0.000206682,0.0154627,-0.00193235,-0.00748413,-0.0477369,0.007964,-0.0194298
0.074,0.000421222,5.03E-05,0.000731452,-0.00589807,-0.0205471,0.000771942,0.00916474,-0.00392997,-0.00364781,-0.021716,0.0072797,-0.0195951
