time,RGLTMED,RRF,RADDLONG,RTA,RGM
0.001,0.00022917012623479844,0.0008522306684316972,0.004680868345587778,0.0054019606831324654,0.0018128524918526795
0.002,0.00011715852250164131,0.000932032134695495,0.00484474680392885,0.005780413443318052,0.001931406193598149
0.003,5.110971300881415e-06,0.001012269757485744,0.0050093484784586705,0.006158568005672654,0.002050766557220032
0.004,0.00010690984912401717,0.0010928950264373152,0.005174567858303995,0.006536175730316468,0.0021708374328065732
0.005,0.0002188412633832824,0.001173858715450413,0.005340298837042048,0.0069129879939701,0.0022915219974989297
0.006,0.00033062067809545663,0.0012551109415444165,0.005506434897631667,0.007288756562831966,0.0024127229576258965
0.007,0.0004421856606488004,0.0013366012252286365,0.005672869298340173,0.007663233967974278,0.0025343427482518786
0.008,0.0005534740174051224,0.0014182785522976436,0.005839495258973943,0.008036173882450755,0.0026562837289009667
0.009,0.0006644238711959124,0.0015000914369581542,0.00600620614672712,0.00840733149931583,0.002778448374391945
0.01,0.0007749737379752459,0.0015819879861920674,0.006172895660969397,0.008776463909759023,0.0029007394598752497
0.011,0.0008850626025070792,0.0016639159652570223,0.006339458016305169,0.009143330480561486,0.00302306023930739
0.012,0.000994629992973135,0.0017458228642227638,0.006505788123257179,0.009507693230085129,0.0031453146167485613
0.013,0.0011036160543919696,0.0018276559654396213,0.006671781765958542,0.009869317202007847,0.0032674073100353736
0.014,0.0012119616207435081,0.001909362411835253,0.006837335776275248,0.01022797083601845,0.003389244006551468
0.015,0.0013196082856987597,0.0019908892759379474,0.007002348203823272,0.010583426334678557,0.0035107315109681137
0.016,0.0014264984718609522,0.002072183629528381,0.007166718481384178,0.010935460025646547,0.0036317778849351856
0.017,0.0015325754984301901,0.0021531926138249253,0.007330347585252143,0.011283852718445024,0.0037522925787689247
0.018,0.0016377836472089352,0.0022338635101091468,0.007493138190059686,0.011628390054941855,0.0038721865552194612
0.019,0.0017420682268716318,0.002314143810698405,0.007654994817634239,0.011968862852704782,0.003991372405425317
0.02,0.0018453756354297266,0.002393981290173142,0.007815823979445573,0.01230506744037797,0.004109764457185761
0.021,0.0019476534208335012,0.002473324076768638,0.007975534312222827,0.012636805984214305,0.004227278875706243
0.022,0.0020488503396642425,0.002552120723844106,0.008134036706343889,0.012963886804883225,0.004343833756991756
