time,RGLTMED,RRF,RADDLONG,RST,RTA,RGM,LGLTMED,LRF,LADDLONG,LST,LTA,LGM
0.0,0.00012595203513535134,0.0010901930174267902,0.0006946166024705638,0.0012238121838856547,0.000773845006612799,0.005510832577350211,0.00026654057768367374,0.0007066959766035758,3.3291576775838757e-05,0.004102183379396029,0.017588922453205546,0.0018406960726316702
0.001,0.00014977484581698468,0.0010132618401736126,0.0006402675812983228,0.0012719010837472695,0.00046902336472762836,0.0060907420429096,0.0002882084985332672,0.0007442943277914422,6.813690930614159e-06,0.004403847462878027,0.016418161366427615,0.0017063250096502238
0.002,0.000173624423788195,0.000936704404141871,0.0005856971902091867,0.0013199392955220359,0.0001657474223548505,0.006668486565354604,0.00030998795600537394,0.0007821354881868143,4.689281266725439e-05,0.004703942869440098,0.015249051579282177,0.0015721330388715374
0.003,0.0001974856289799215,0.0008605641193555723,0.0005309248775588058,0.0013678857912475223,0.00013577492633542483,0.0072436170817193075,0.00033187207013390545,0.0008202040914152801,8.692569653285296e-05,0.005002240208302167,0.014082105957397744,0.001438183237923399
0.004,0.00022134340218239778,0.0007848838240679057,0.000475969981029436,0.0014156993254032901,0.00043533747353843014,0.007815685623383606,0.00035385413998213956,0.0008584849155719478,0.00012689248329124283,0.00529851260789615,0.01291783048853797,0.001304537922656046
0.005,0.0002451827948709023,0.0007097057276062106,0.0004208517034259005,0.001463338498733055,0.000732736000002062,0.00838424601201465,0.0003759276633846476,0.0008969629218977571,0.00016677357856603064,0.005592536157638001,0.011756723703713064,0.001171258567424656
0.006,0.0002689889985056004,0.0006350713548017168,0.00036558908944714347,0.0015107618228225193,0.001027768572093287,0.008948854551395005,0.00039808635639366336,0.0009356232931285392,0.00020654968439442865,0.005884090344647431,0.010599276124077987,0.0010384057283596582
0.007,0.0002927473731522787,0.0005610214921462383,0.0003102010035166657,0.0015579277852511848,0.0013202358327872848,0.00950907071278106,0.00042032417236053727,0.000974451471357683,0.0002462018300431312,0.00617295848378274,0.009445969734955444,0.0009060389698622861
0.008,0.0003164434752872672,0.00048759613580992545,0.0002547061087442581,0.0016047949151463394,0.0016099412856692952,0.01006445781157758,0.00044263532058626883,0.001013433195262645,0.0002857114019930539,0.006458928139386991,0.008297277488236587,0.0007742167945503081
0.009,0.00034006308466836416,0.0004148344416442784,0.00019912284708059158,0.001651321848977457,0.0018966915710973953,0.010614583673273772,0.00046501428447709295,0.0010525545365547516,0.0003250601730031983,0.006741791537183809,0.007153662834330255,0.0006429965768646564
0.01,0.00036359223017302597,0.0003427746772828602,0.00014346942071696638,0.0016974673964378162,0.0021802967337387056,0.011159021286732856,0.0004874558391419568,0.0010918019355206415,0.0003642303301674627,0.007021345964828156,0.006015579284751807,0.000512434500529896
0.011,0.00038701721452458643,0.0002714541764385669,8.776377477559949e-05,0.0017431906062662665,0.0024605704807522423,0.011697349443046788,0.0005099550683690404,0.001131162235532358,0.00040320450188173306,0.007297394159709664,0.004883470006364278,0.0003825855000395162
0.012,0.00041032463784588884,0.00020090929548129135,3.202358133045292e-05,0.0017884508318670373,0.0027373304299448606,0.012229153358278141,0.0005325073809188779,0.001170622716411634,0.00044196578364201337,0.0075697446827173685,0.0037577674482008033,0.000253503206311788
0.013,0.00043350141999575853,0.00013117537236400476,2.3733775206612377e-05,0.0018332077965918774,0.0030103983472803794,0.012754025278543558,0.0005551085260726994,0.0012101711265417453,0.0004804977625982288,0.007838212276798333,0.002638893001696232,0.0001252398966356055
0.014,0.00045653482165602076,6.228668794903428e-05,7.949121130589462e-05,0.001877421658557254,0.003279600373185186,0.013271565066060162,0.0005777546083766071,0.0012497957136263919,0.0005187845407930028,0.008102618209273141,0.0015272566950351248,2.153550999396648e-06
