time,LGLTMED,LRF,LADDLONG,LST,LTA,LGM
0.0,0.0036144562228851195,0.005000511434437685,0.0005324624843751919,0.0005667228929475373,0.00124158615024848,0.004629572657676427
0.001,0.00397914190086786,0.005257119748117762,0.00031315168124937414,0.0006483590442960707,0.0005434176613332519,0.004918018990458827
0.002,0.004343625854470146,0.005513182423139643,9.51209229019682e-05,0.0007295727005165382,0.002320399833868153,0.005206920793113583
0.003,0.004707665969608463,0.0057685465782195975,0.00012149574379382424,0.0008103154724654427,0.00408815927517898,0.005496063044926457
0.004,0.005071019217215651,0.006023061066216316,0.0003365659794458944,0.0008905397563945439,0.005845504120992056,0.005785229324278849
0.005,0.005433441957064721,0.006276576756030837,0.0005499593424850235,0.0009701988140107456,0.007591253541519125,0.0060742021398906025
0.006,0.005794690244093481,0.006528946811729299,0.0007615474761505928,0.0010492468508219671,0.00932423952581296,0.006362763263954322
0.007,0.006154520136670879,0.006780026967925284,0.0009712042916850891,0.0011276390925137817,0.011043308638580236,0.006650694066099551
0.008,0.006512688006265114,0.007029675800475787,0.0011788061473189657,0.0012053318591063354,0.012747323744452407,0.006937775847257987
0.009,0.00686895084797942,0.007277754991571946,0.0013842320226424797,0.0012822826366437681,0.014435165695094515,0.007223790172602199
0.01,0.00722306659141505,0.007524129588338101,0.0015873636879753662,0.0013584501461713263,0.016105734974930213,0.007508519202814013
0.011,0.007574794411307944,0.007768668254083703,0.0017880858683594653,0.0014337944097600394,0.017757953301625638,0.007791746023021506
0.012,0.007923895037370036,0.00801124351137414,0.0019862864018128515,0.0015082768133449411,0.01939076517779081,0.00807325496882829
0.013,0.008270131062749302,0.00825173197609404,0.0021818563914956313,0.0015818601661495534,0.02100313939064994,0.0083528319489315
0.014,0.008613267250504484,0.008490014581672442,0.00237469035144891,0.001654508756476387,0.02259407045673555,0.008630264763870535
0.015,0.008953070837471678,0.008725976792632727,0.0025646863455820144,0.0017261884036507674,0.024162580008996872,0.008905343420468479
0.016,0.0092893118348825,0.00895950880663166,0.002751746119598995,0.0017968665059141398,0.02570771812406389,0.009177860441535575
0.017,0.009621763325079363,0.009190505744166909,0.0029357752255731013,0.001866512084073992,0.027228564587728987,0.009447611170410162
0.018,0.009950201753663374,0.009418867825161848,0.003116683138900035,0.001935095820731577,0.02872423009696472,0.009714394069919962
0.019,0.010274407216404898,0.009644500531682464,0.0032943833673915453,0.002002590094926631,0.030193857396991774,0.00997801101535635
0.02,0.010594163740247485,0.0098673147561078,0.003468793552310576,0.0020689690120602165,0.031636622352075434,0.010238267581065537
0.021,0.010909259557744784,0.010087226934160929,0.003639835561193242,0.002134208428981299,0.033051734948894254,0.010494973320268969
0.022,0.011219487374287332,0.010304159162304784,0.0038074355723450044,0.002198285974148429,0.034438440231508036,0.010747942037726601
0.023,0.011524644627496876,0.01051803929911094,0.003971524150932057,0.002261181062804211,0.03579601916713623,0.01099699205485238
0.024,0.011824533738183976,0.010728801050314379,0.004132036316610789,0.0023228749071253435,0.03712378944210388,0.011241946466885502
0.025,0.012118962352277657,0.010936384037365458,0.0042889116026506345,0.0023833505213329744,0.03842110618739601,0.01148263339171508
0.026,0.012407743573150401,0.011140733849376371,0.00444209410651521,0.002442592721766653,0.039687362633288537,0.011718886209949757
0.027,0.01269069618378882,0.01134180207843504,0.004591532531879449,0.0025005881219418817,0.04092199069251749,0.011950543795819642
0.028,0.012967644858307302,0.011539546338331874,0.004737180222081477,0.002557325122629117,0.04212446147143285,0.012177450738496784
0.029,0.01323842036236926,0.011733930266822408,0.004878995185041381,0.002612793897013384,0.04329428570858295,0.01239945755342137
0.03,0.013502859742160275,0.011924923511638132,0.005016940109725803,0.002666986371018483,0.04443101414021035,0.012616420883225846
0.031,0.013760806501630777,0.012112501700559162,0.005150982374291637,0.0027198961989051457,0.045534237792229544,0.012828203687863
0.032,0.01401211076777322,0.01229664639596592,0.005281094046095904,0.002771518734274815,0.04660358819842803,0.013034675423569021
0.033,0.01425662944372108,0.012477345034381622,0.005407251873806296,0.0028218509966292625,0.04763873754490773,0.01323571221032661
0.034,0.014494226349477324,0.01265459085160097,0.005529437271882912,0.00287089163365428,0.04863939874116339,0.013431196987534493
0.035,0.014724772350115939,0.012828382794072285,0.005647636297722136,0.0029186408794152022,0.049605325418643285,0.013621019657637012
0.036,0.014948145471346277,0.012998725417252449,0.005761839621759017,0.0029651005086707223,0.05053631185808745,0.013805077217515626
0.037,0.01516423100237541,0.013165628771679035,0.005872042490820791,0.003010273787526209,0.05143219284731371,0.013983273877483424
0.038,0.015372921586052414,0.013329108277507372,0.005978244685016841,0.0030541654206577775,0.052292843471377255,0.014155521167747194
0.039,0.015574117296342397,0.013489184588255345,0.006080450468442011,0.00309678149534396,0.05311817883715794,0.014321738032210686
0.04,0.015767725703253577,0.013645883444497055,0.006178668533960677,0.0031381294225433,0.05390815373446575,0.014481850909495558
0.041,0.015953661925413025,0.013799235518251924,0.0062729119423275085,0.003178217875254514,0.05466276223576592,0.014635793801058812
0.042,0.016131848670549356,0.01394927624882377,0.006363198055889519,0.0032170567243922396,0.05538203723666272,0.014783508326291517
