time,RGLTMED,RRF,RADDLONG,RST,RTA,RGM,LGLTMED,LRF,LADDLONG,LST,LTA,LGM
0.0,0.033338980018726476,0.010968596722640668,0.00942859853366299,0.0041730442006305555,0.017882886736250863,0.008746838883774897,0.0294970071681632,0.003946598419515531,0.00153741640195006,0.06285678203939185,0.01104649308712605,0.006618651119736799
0.001,0.03479074277441007,0.010026221879948718,0.009862124054670341,0.004500221783376323,0.024349866903792816,0.00969326545484691,0.03250783961072706,0.004294847032898527,0.000993089819991026,0.07161849989911837,0.00995679036250332,0.0057878949493068285
0.002,0.036237105691273294,0.00908898292776695,0.010296393351145287,0.004820637523500205,0.03084804762865713,0.010637083101124793,0.03553246768008797,0.004645749105404498,0.0004482749895461888,0.08038856945555868,0.00887442779854951,0.004926956758851639
0.003,0.03767687730656737,0.008157425358016833,0.010731091124562525,0.0051339505902008266,0.03737368462341016,0.011577704322571913,0.03856916321379024,0.004999109525664207,9.671926521620552e-05,0.0891613620746005,0.007799969630333025,0.004034969709418794
0.004,0.03910886555478163,0.007232087082953706,0.011165899455495707,0.005439827276300548,0.043922976824794686,0.012514544979913111,0.041616183631242636,0.005354730174452002,0.0006415839991493272,0.09793122492928623,0.006733963600112226,0.0031110485138119894
0.005,0.04053187960308528,0.006313497686190192,0.011600498245786163,0.005737941700753071,0.05049207007046193,0.013447025131836944,0.04467177433660388,0.005712410195828284,0.0011860105604224013,0.10669248852415233,0.005676939882294829,0.002154289453080432
0.006,0.04194473170021421,0.0054021776924257055,0.012034565666887992,0.006027976511374412,0.05707706085563155,0.01437456986273315,0.04773417113675035,0.006071946271483807,0.0017296910007480932,0.11543947423290118,0.004629410035868391,0.0011637704395626085
0.007,0.04334623903428162,0.004498637857655987,0.012467778613315432,0.006309623586417075,0.06367400016452454,0.015296610098453033,0.05080160266752451,0.006433132897312327,0.0022723184802822564,0.12416650182804262,0.003591865986934358,0.00013855112951868223
0.008,0.04473522559511633,0.003603378481486829,0.012899813160247431,0.006582584733713171,0.0702788973717144,0.016212583407739067,0.05387229282161268,0.006795762661316923,0.0028135876660961958,0.13286789698284884,0.0025647790439071233,0.0009223269118095891
0.009,0.046110524036890345,0.0027168887429979403,0.01333034502437018,0.006846572386101879,0.07688772420873752,0.017121934787070945,0.05694446317143942,0.007159626522111492,0.0033531951233239654,0.14153799872763168,0.0015485989477665638,0.002019839990063244
0.01,0.04747097753689773,0.001839646061479015,0.013759050027008685,0.007101310291985748,0.08349641879149669,0.018024117426739605,0.06001633538049263,0.007524514087384798,0.0038908396982256276,0.1501711668439821,0.0005437529596763954,0.0031549820041110767
