time,RGLTMED,RRF,RADDLONG,RST,RTA,RGM,LGLTMED,LRF,LADDLONG,LST,LTA,LGM
0.0,0.0009436298523124025,0.007367815285635992,0.0016748474369561429,0.001210747305317764,0.0020322330363666007,0.00014715791491975216,0.0002310902008946404,0.0022369717033099497,0.0011004509064891214,0.0006860766565052186,0.000862769961661314,5.939674981155441e-05
0.001,0.0010208512183069516,0.006794425592942855,0.0015547513585465818,0.0012764445421655083,0.0022569289564349604,0.000176750686374417,0.00027328641546977227,0.0018156802276299176,0.0014589295723131002,0.0009675750229213558,0.0005692908875087847,0.00027736229515386654
0.002,0.001099446874035297,0.006220644800335911,0.0014351884320408677,0.0013418565894214953,0.0024803174220976235,0.0004993327541172233,0.00031553275229920886,0.0013955327197134387,0.0018194952330214456,0.0012456725662471245,0.00027545117717112577,0.0006134060903544878
0.003,0.001179392637256841,0.005646717144599732,0.0013162165028687395,0.0014069247439469825,0.0027022691386101435,0.0008203877063725301,0.00035780534840744997,0.0009767891005631755,0.0021819656562935496,0.0015201570458071637,1.858477381252735e-05,0.0009485164346285568
0.004,0.0012606630897399169,0.005072884667555418,0.001197892047944356,0.0014715905352026075,0.002922658048633287,0.0011397165358974996,0.00040008035115679,0.0005597081808544286,0.002546157549234792,0.0017908203495758603,0.0003126524834638868,0.0012824781692213564
0.005,0.001343231601651263,0.004499386922533723,0.0010802700834595203,0.0015357958376736821,0.0031413616160183458,0.0014571220858185983,0.00044233395271683614,0.00014454732835709165,0.0029118868432094903,0.0020574588494944313,0.0006065876039508657,0.0016150796387106444
0.006,0.0014270703574373472,0.003926460690173171,0.0009634040762468964,0.001599482982073709,0.0033582611059749215,0.0017724093214570695,0.0004845424243331117,0.00026843785916054767,0.003278968976341709,0.002319873748964536,0.0009002261398918927,0.0019461131403641242
0.007,0.0015121503831145987,0.003354339704211855,0.0008473458590057401,0.001662594864830896,0.0035732418608533023,0.002085385597674167,0.0005266821502930984,0.0006789938746386645,0.0036472191724365695,0.0025778714214254764,0.0011934046636654545,0.00227537535962085
0.008,0.0015984415748922353,0.002783254387902449,0.0007321455496597256,0.0017250750554610875,0.00378619357081278,0.002395860921171231,0.000568729661493164,0.0010868696152665797,0.0040164527151654115,0.0028312637389714497,0.0014859605270605245,0.0026026677896569183
0.009,0.0016859127290558766,0.0022134316016397012,0.0006178514750930876,0.001786867901517281,0.003997010538674158,0.0027036482072201433,0.0006106616685140359,0.0014918166882016747,0.0043864852164765085,0.003079868390012601,0.0017777320686679539,0.002927797133275285
0.01,0.0017745315730426621,0.001645094402345726,0.000504510099487266,0.0018479186308788056,0.004205591938273416,0.003008563530325923,0.000652455094115969,0.0018935897079155582,0.004757132878330042,0.003323509185024047,0.002068558816490522,0.0032505756856397857
0.011,0.001864264797640664,0.0010784618151067472,0.0003921659574549851,0.0019081734511970452,0.004411842065646358,0.0033104263683429993,0.0006940871050682508,0.002291946584695778,0.005128212746993263,0.003562016349459432,0.0023582816853322413,0.003570821696638388
0.012,0.0019550780902483694,0.0005137486174958326,0.00028086159214267493,0.0019675796463453745,0.004615670582382908,0.003609059839582781,0.0007355351432321017,0.002686648803882095,0.00549954295925941,0.0037952268029370854,0.0026467431686077758,0.0038883597118932116
0.013,0.0020469361691342006,4.8834863047397715e-05,0.00017063749844763182,0.0020260856697342524,0.004816992750499704,0.0039042909324612154,0.0007767769558217219,0.0030774616954471956,0.005870942980076471,0.004022984423848032,0.002933787524286706,0.004203020891627379
0.014,0.0021398028186408002,0.0006090829384757545,6.15320714745083e-05,0.002083641234359851,0.005015729658196829,0.004195950727240349,0.000817790624774579,0.0034641546935588567,0.00624223383119003,0.004245140298589042,0.00321926095475164,0.004514643306754087
0.015,0.00223364092528321,0.0011667947357976271,4.6418439665678764e-05,0.0021401973994637116,0.005211808435889604,0.004483874609420171,0.0008585545951678143,0.0038465015857981097,0.006613238310507756,0.004461552954685078,0.00350301178039871,0.004823072211682707
0.016,0.002328412514693278,0.0017217743589814018,0.0001531799726345442,0.002195706653691482,0.005405162461934062,0.0047679024743417,0.0008990477026220392,0.004224280751760923,0.0069837812019734906,0.004672088577128972,0.003784890606841584,0.005128160293461789
0.017,0.0024240787893645877,0.0022738310370113268,0.00025872068716944563,0.0022501229946473274,0.005595731557488833,0.005047878922574269,0.0009392491996370318,0.004597275390834528,0.007353689475795574,0.004876621207332158,0.004064750485600452,0.005429767897018083
0.018,0.0025206001671536802,0.002822779258079971,0.0003630109948822647,0.002303402004745917,0.005783462169973083,0.005323653445681752,0.0009791387808071406,0.004965273739004558,0.0077227924789092855,0.005075032924149861,0.004342447068172549,0.005727763226397372
0.019,0.002617936320494993,0.00336843888997547,0.00046602358354992445,0.0023555009232679694,0.005968307544588148,0.005595080601993662,0.001018696606868813,0.005328069274611188,0.00809092211557134,0.005267214006514622,0.004617838753395128,0.006022022522038043
0.02,0.0027160462162881243,0.003910635286785821,0.0005677334359161507,0.002406378714530286,0.006150227883370496,0.005862020182045229,0.0010579033275392175,0.005685460913036125,0.008457913017993288,0.005453063077276356,0.004890786828026742,0.006312430214190332
0.021,0.002814888156415143,0.004449199382094249,0.0006681178430457024,0.002455996132086648,0.00632919049123854,0.006124337363389488,0.0010967401031130104,0.0060372531903724064,0.008823602706927598,0.005632487227900027,0.0051611556004878215,0.006598879052634811
0.022,0.0029144198188418343,0.004983967768880566,0.0007671564122918686,0.0025043157788798556,0.006505169908489169,0.00638190285451646,0.001135188624792904,0.0063832564361990885,0.00918783174212912,0.0058054021237195965,0.005428812527714805,0.006881270212869052
0.023,0.0030145982992509208,0.005514782766376015,0.000864831069955917,0.0025513021632666104,0.00667814802919394,0.006634593027638927,0.0011732311337374112,0.006723286935641,0.00955044386262781,0.0059717320895048,0.005693628335090554,0.00715951337894173
0.024,0.0031153801531490096,0.006041492474146235,0.0009611260587340896,0.0025969217508370296,0.006848114204942358,0.006882290040130609,0.0012108504388149116,0.007057167080938892,0.009911286116769547,0.006131410175172973,0.005955477129416582,0.007433526803139502
0.025,0.0032167214383833783,0.006563950813702272,0.0010560279300638059,0.002641143011952122,0.007015065333384562,0.00712488194443957,0.0012480299330569135,0.0073847255127962195,0.010270208982012159,0.0062843782015601524,0.006214236504893189,0.007703237342787441
0.026,0.00331857775800073,0.007082017557966816,0.0011495255314951053,0.0026839364649280544,0.007179005931041195,0.007362262786345519,0.001284753608805888,0.007705797251807513,0.010627066474497635,0.006430586786238283,0.006469787642078364,0.00796858047450892
0.027,0.003420904303378717,0.007595558348953843,0.0012416099892245964,0.002725274714806244,0.007339948189872937,0.0075943326914748146,0.0013210060715550542,0.008020223820302253,0.010981716248452362,0.006569995349427203,0.006722015399811164,0.00822950028639518
0.028,0.003523655897562325,0.008104444704052673,0.0013322746859364834,0.002765132487660734,0.0074979120171319484,0.007820997940026438,0.001356772552479445,0.008327853354951628,0.011334019685491525,0.006702572100118361,0.0069708084001121225,0.008485949448638517
0.029,0.003626787038739259,0.008608554011337522,0.0014215152340993722,0.0028034866604047734,0.007652925058051277,0.008042171029698918,0.001392038919659683,0.008628540710485405,0.011683841973922703,0.006828294002624348,0.007216059106107672,0.008737889163265077
0.03,0.003730251943789247,0.00910776951434531,0.0015093294448703706,0.0028403162860645187,0.007805022700969222,0.00825777072684595,0.001426791688002434,0.0089221475548554,0.012031052178159952,0.0069471467239014565,0.007457663893058986,0.008985289093657233
0.031,0.0038340045918418848,0.009601980286773195,0.0015957172927609559,0.0028756026144905896,0.007954248064534859,0.008467722105925057,0.0014610180278650784,0.009208542456162075,0.012375523298381218,0.007059124562144626,0.007695523112602581,0.009228127274594291
