time,LGLTMED,LRF,LADDLONG,LST,LTA,LGM,RGLTMED,RRF,RADDLONG,RST,RTA,RGM
0.039,0.000290213,-0.0134552,0.016998,0.00757309,-0.0144779,-0.0165791,0.00533831,0.0052973,0.0095461,-0.00840815,-0.0024158,0.0500815
0.04,0.000613395,-0.019067,0.0259485,0.00762031,-0.0290115,-0.0110205,-0.00647248,-0.0208689,0.00825392,0.00265191,0.0152509,0.0795876
0.041,-0.000871083,-0.0258121,0.00339735,0.00566331,-0.0335068,-0.00966045,-0.0174531,-0.0325612,0.01314,0.00111605,0.0256977,0.00511122
0.042,-0.000800242,-0.00991566,0.0183136,-0.0108587,-0.0117859,-0.00636156,-0.0120706,-0.0126567,0.00528037,0.00102996,0.0325972,-0.0369668
0.043,-0.000693778,-0.0101552,-0.00682689,-0.021242,0.00778517,0.0126476,-0.0159852,0.00318184,0.00206308,0.00209538,0.0399146,-0.0125087
0.044,0.00586345,0.0143506,-0.0494517,-0.0197323,0.0169884,0.0123102,-0.0261622,0.0189717,-0.00262619,0.00309766,0.0302355,-0.00211902
0.045,0.00483885,0.0303258,-0.0640924,-0.0170462,0.0143181,-0.00459074,-0.0230776,-0.00430057,-0.00269558,0.000684888,-0.0199742,-0.0235268
0.046,0.00233994,0.0133388,-0.0528682,-0.0232799,-0.00570449,0.00592344,-0.0137468,-0.0119609,-0.00151335,-0.00269736,-0.0539942,-0.0193795
0.047,0.00233591,0.0207364,-0.0297729,-0.0210528,0.0036231,0.0106185,-0.0167713,0.00275134,-0.00549836,-0.00277259,-0.0266945,-0.0199031
0.048,0.00482683,0.00578887,-0.0121326,-0.0106744,0.0310162,0.0110482,-0.0156473,-0.00131474,-0.00580878,-0.00228268,0.0100232,-0.0229637
0.049,0.00645398,-0.0236132,0.0160078,-0.00770339,0.030699,0.00693047,0.00247474,0.0341791,-0.00489218,-0.00274748,0.0323444,-0.0142096
0.05,0.00599253,-0.053475,0.0577895,0.000384643,0.0182262,0.00743918,0.00863961,0.0705173,-0.0024468,0.000417983,0.00333107,-0.00521939
