time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
4.97500019,-16.20122765,4.73533706,-1.97371983,-2.60207873,0.97003308,0.31179668,-7.2155533,-2.83364942,4.72704961,49.29741657,49.29741657,-29.30526843,0,0,61.44112544,-5.64040356,-11.75797177,51.07517967,51.07517967,1.04040642,0,0,-30.22731434,-12.57031565,-3.83961821,36.8716873,-17.19531723,-3.49506558,120.7276655,29.82228287,0,0,-50.71183849,-21.13668323,-30.17781094,86.87884591,56.1920771,0,0
4.98000019,-15.90688774,4.53435861,-1.3372701,-2.57171792,0.9734703,0.31150289,-5.5922798,-2.31642462,3.64493991,54.11858353,54.11858353,-28.42558054,0,0,59.45323929,-5.261013,-12.47321227,48.15680463,48.15680463,-0.09826404,0,0,-30.95203489,-12.29197204,-3.37152631,32.90053923,-16.73581448,-5.97781067,117.3884549,29.53258314,0,0,-46.48412707,-22.74701762,-27.98803859,87.74936816,56.26186789,0,0
4.98500019,-15.70317463,4.29412775,-0.55435971,-2.54140836,0.97624353,0.31094577,-3.81065836,-1.80710961,2.42001216,58.86613267,58.86613267,-27.55719192,0,0,57.62249153,-4.8129859,-13.01336831,45.72160899,45.72160899,-1.18917341,0,0,-31.53653671,-11.88938188,-2.90965641,29.08722359,-16.18171624,-8.62498254,113.8428731,29.25025102,0,0,-42.04584247,-24.26226063,-25.22925256,89.27861316,46.23094274,0,0
4.99000019,-15.57264883,4.02043306,0.36957264,-2.51113058,0.97835361,0.31015441,-1.89700583,-1.32357787,1.0772448,63.51332883,63.51332883,-26.64136518,0,0,55.93451489,-4.31469357,-13.36931572,43.78815393,43.78815393,-2.18660594,0,0,-31.99444255,-11.37751392,-2.49256015,25.44918767,-15.56045802,-11.33462737,110.1490927,28.89380363,0,0,-37.29120478,-25.60098639,-22.47761796,90.22098911,43.62187108,0,0
4.99500019,-15.49754127,3.72483173,1.41803715,-2.4808754,0.97981466,0.30916978,0.12910199,-0.89195426,-0.35468427,68.04670021,68.04670021,-25.62258203,0,0,54.3640523,-3.7816197,-13.53405655,42.34807104,42.34807104,-3.04475651,0,0,-32.33325257,-10.77819726,-2.13482231,21.98231917,-14.90952786,-14.01669945,106.350107,28.56555915,0,0,-32.29559087,-26.71169147,-19.58067899,90.90110124,43.69783094,0,0
5.00000019,-15.46225686,3.42279863,2.56652829,-2.45064079,0.98064882,0.30803817,2.25391952,-0.54234597,-1.84178536,72.4598684,72.4598684,-24.46505781,0,0,52.87930912,-3.22463109,-13.50099736,41.3693164,41.3693164,-3.71342671,0,0,-32.56219197,-10.12110739,-1.85557813,18.67504316,-14.26041894,-16.57540662,102.4946275,28.23560249,0,0,-27.13071583,-27.54819447,-16.53024214,91.53019294,43.75504398,0,0
5.00500019,-15.45343538,3.13131328,3.78703874,-2.42042631,0.98088592,0.30680224,4.46618709,-0.30399186,-3.34462325,76.74832002,76.74832002,-23.15575182,0,0,51.44384052,-2.64935337,-13.26486354,40.80061657,40.80061657,-4.13435852,0,0,-32.69083387,-9.43745969,-1.67405366,15.5063102,-13.64117468,-18.91944333,98.61867958,28.02807082,0,0,-21.88625483,-28.08080712,-13.32618384,92.40978289,39.91281771,0,0
5.01000019,-15.45917269,2.86618683,5.05116675,-2.39022931,0.98056332,0.30549764,6.75429155,-0.20020995,-4.81975474,80.90616933,80.90616933,-21.70035564,0,0,50.01850947,-2.05824806,-12.82535428,40.57753946,40.57753946,-4.24222253,0,0,-32.73226324,-8.75583369,-1.62308195,12.46303873,-13.0662433,-20.94931993,94.77860507,27.70886247,0,0,-16.61593683,-28.28111818,-10.22599417,92.99293391,39.98547567,0,0
5.01500019,-15.46794335,2.63984798,6.3337659,-2.36004406,0.97972645,0.30414905,9.10476252,-0.24540961,-6.22425328,84.92463978,84.92463978,-20.11607913,0,0,48.56351043,-1.45248916,-12.1896605,40.62854882,40.62854882,-3.96759863,0,0,-32.69899077,-8.0975962,-1.72643606,9.5281248,-12.54478391,-22.59642822,91.00374625,27.40450186,0,0,-11.43067225,-28.1626569,-7.25569474,93.59906256,40.05235861,0,0
5.02000019,-15.4684028,2.45884431,7.61726679,-2.32986544,0.97842737,0.30276476,11.5025034,-0.4434562,-7.52219228,88.79143606,88.79143606,-18.42342812,0,0,47.04188507,-0.83328441,-11.37128936,40.87986065,40.87986065,-3.24727831,0,0,-32.60519835,-7.47282927,-2.00772129,6.68361966,-12.09475969,-23.80271961,87.29557409,27.61317515,0,0,-6.41184172,-27.76091335,-4.48744872,94.33031026,39.10459364,0,0
5.02500019,-15.4488855,2.32193021,8.89322189,-2.29969219,0.97672478,0.30133775,13.9315269,-0.78684929,-8.68918397,92.48996405,92.48996405,-16.64208586,0,0,45.42202758,-0.20482942,-10.38820902,41.25875482,41.25875482,-2.04150307,0,0,-32.46725049,-6.87760693,-2.48806029,3.91434578,-11.71528547,-24.53257162,83.78106596,27.34105702,0,0,-1.60504896,-27.12139733,-2.03103262,95.06036382,39.18525311,0,0
5.03000019,-15.39789266,2.21822376,10.16145987,-2.26953038,0.97468081,0.29985227,16.37715815,-1.25624536,-9.7141531,95.99956181,95.99956181,-14.78915072,0,0,43.68123468,0.42149672,-9.25879522,41.69635362,41.69635362,-0.35206752,0,0,-32.29999001,-6.29443064,-3.17250977,1.19728772,-11.42261588,-24.78770246,80.47620524,27.10115327,0,0,2.97077305,-26.3074889,0.10079722,95.87564081,39.26932971,0,0
5.03500019,-15.30486413,2.12736965,11.42749708,-2.2393946,0.972357,0.29829206,18.82797959,-1.8227922,-10.59937419,99.2963846,99.2963846,-12.87983023,0,0,41.80926123,1.0236418,-8.00099637,42.13229651,42.13229651,1.76739291,0,0,-32.11619228,-5.69431066,-4.05356943,-1.48835566,-11.22036858,-24.60524249,77.43899221,26.90507474,0,0,7.33064465,-25.38088339,1.90805192,96.77575571,39.35954537,0,0
5.04000019,-15.16199302,2.02176508,12.70022179,-2.20930855,0.96980896,0.29664543,21.27788099,-2.45384781,-11.35994983,102.3553373,102.3553373,-10.9282857,0,0,39.81176557,1.56853406,-6.63167146,42.52185381,42.52185381,4.2180929,0,0,-31.9243598,-5.04176474,-5.10649733,-4.17858379,-11.12257869,-24.03211758,74.74011264,26.75430558,0,0,11.51949823,-24.3914405,3.41729285,97.74582762,39.45557622,0,0
