time,RGLTMED,RRF,RADDLONG,RST,RTA,RGM,LGLTMED,LRF,LADDLONG,LST,LTA,LGM
0.0,0.03253926562127558,0.019481796113984953,0.0057287889562363525,0.003652641850144799,0.0038700339423559825,0.015936098532144095,0.004277499648825447,0.015616351706577243,0.0011974485978039622,0.0038993603537774823,0.027784590547146357,0.023531924110323243
0.001,0.03630405255197981,0.021886757956750432,0.006526858582474762,0.004462092249342275,0.0059765324788091136,0.015028157568252168,0.004651138789045561,0.01547007832211608,0.001638085317310452,0.005574378584777978,0.029823750857588444,0.02245573154917715
0.002,0.040176480435265866,0.02431346903713407,0.0073305299154207155,0.005268629538207544,0.008078806358394138,0.014124030431406347,0.005044942424136098,0.015295401285027327,0.0020844178472242333,0.0073089876130129385,0.031895828853945235,0.02130873153959026
0.003,0.044156086005697544,0.026760690066107814,0.008139371460911772,0.006071698009272361,0.010175721315187965,0.01322385308657496,0.0054583699003763995,0.015091271725679353,0.002536333982198143,0.009103481484066067,0.03400036637395897,0.0200894325272439
0.004,0.048242299223912086,0.029227152672943728,0.008952945121914793,0.006870743592882852,0.012266158713994932,0.012327736066919299,0.005890822618226389,0.014856636975163174,0.002993722249343266,0.010958109304520583,0.03613688559855051,0.01879636977898562
0.005,0.05243444234745959,0.031711560624872265,0.009770806731643664,0.007665214623117854,0.014349017480960074,0.011435763713165858,0.006341643059328388,0.014590441624941343,0.0034564722869872256,0.012873074278228718,0.03830488972705204,0.017428107498006308
0.006,0.0567317291279173,0.03421259109181983,0.010592506595273946,0.00845456260301727,0.016423215994194062,0.010547993460588372,0.006810113879676897,0.014291628627770664,0.0039244752146005285,0.014848532773645125,0.040503863679722724,0.01598324095621297
0.007,0.061133264136958076,0.036728895954367576,0.011417590038944537,0.00923824296746547,0.018487693928110498,0.009664455176277394,0.0072954570724518735,0.013959140440345194,0.004397623991817725,0.01688459342299648,0.04273327482564181,0.01446039864174641
0.008,0.06563804222403326,0.039259103153024125,0.012245597964745164,0.010015715842216668,0.020541414045284884,0.008785150549248968,0.007796833203958477,0.013591920207945078,0.004875813764516737,0.018981316254224233,0.04499257373413536,0.012858244419475787
0.009,0.07024494810819538,0.04180181807695783,0.013076067410430523,0.010786446797503643,0.02258336392977061,0.007910052535747851,0.008313340726046212,0.013188912991159435,0.005358942196198082,0.021138711856786285,0.04728119494789575,0.011175479702160117
