time,LGLTMED,LRF,LADDLONG,LST,LTA,LGM
0.0,0.005689501948979276,0.04452296935592934,0.003853743906552601,0.006520167990717546,0.06388131197199183,0.023531924110323243
0.001,0.006186479340217872,0.04410593690582068,0.005271843252040718,0.009320986397525658,0.0685696745998742,0.02245573154917715
0.002,0.006710277524509474,0.04360792427677547,0.00670827340078021,0.0122214473029536,0.07333372036441267,0.02130873153959026
0.003,0.007260177378382441,0.043025941091057306,0.008162673242762927,0.015222042384207048,0.07817239587574092,0.0200894325272439
0.004,0.007835382704635246,0.04235698613900739,0.009634684025248088,0.018323188175441055,0.08308460254974957,0.01879636977898562
0.005,0.00843501893815167,0.041598050400154525,0.011123950571718543,0.021525224456294508,0.08806919816055647,0.017428107498006308
0.006,0.009058131939725999,0.04074612018199863,0.012630122472413198,0.024828412692366963,0.09312499845570485,0.01598324095621297
0.007,0.00970368688254763,0.039798180377740904,0.014152855239763349,0.028232934528929148,0.0982507788297086,0.01446039864174641
0.008,0.010370567235924584,0.03875121784377456,0.015691811422178358,0.03173889033943386,0.10344527605170493,0.012858244419475787
0.009,0.011057573850732265,0.037602224897130804,0.017246661670522054,0.035346297830642755,0.10870719004298243,0.011175479702160117
0.01,0.011763424150913089,0.036348202932595414,0.018817085751874844,0.03905509070658577,0.11403518569986293,0.009410845629858201
0.011,0.012486751435285015,0.03498616615858741,0.020402773505683834,0.04286511739375733,0.119427894757472,0.0075631252550547035
0.012,0.01322610429362358,0.03351314545038154,0.02200342573776381,0.04677613983016724,0.12488391768957818,0.005631145730787871
0.013,0.01397994614083988,0.031926192318737494,0.023618755048271566,0.0507878323208027,0.13040182563953645,0.0036137804989208725
0.014,0.014746654872844022,0.03022238299135453,0.025248486590378923,0.054899780462104655,0.13598016237708152,0.001509951475456509
0.015,0.015524522647471669,0.028398822604205547,0.026892358757311188,0.05911148013794462,0.1416174462752733,0.0006813687703275549
0.016,0.01631175579373235,0.026452649499145782,0.028550123796443387,0.06342233658972585,0.1473121723017043,0.0029611548463520996
0.017,0.01710647485237288,0.02438103962371695,0.030221548349890742,0.06783166356307138,0.15306281401768704,0.005330326381353387
0.018,0.017906714750506713,0.02218121102850327,0.03190641392179063,0.07233868253369656,0.158867825578839,0.007789745885249347
0.019,0.018710425112813435,0.019850428457131447,0.033604517272788875,0.07694252201481729,0.16472564373015516,0.010340216629981839
0.02,0.019515470711497843,0.017386008023502205,0.03531567074259275,0.08164221694842504,0.170634689788341,0.012982480554590692
0.021,0.020319632057049272,0.014785321970696243,0.03703970250143041,0.08643670818249605,0.17659337160399305,0.01571721619842048
0.022,0.0211206061316552,0.012045803505732859,0.038776456731386244,0.09132484203621656,0.18260008549600917,0.018545036666326363
0.023,0.02191600726694869,0.00916495170407488,0.04052579373867156,0.09630536995523906,0.1886532181508239,0.021466487629868383
0.024,0.022703368167741142,0.00614033647749892,0.04228758999763684,0.10137694825912148,0.19475114847900363,0.02448204536845209
0.025,0.02348014108317989,0.0029696035987120755,0.04406173812771446,0.1065381379831635,0.20089224942204303,0.027592114854361034
0.026,0.02424369912664212,0.0003495202245562935,0.045848146804210815,0.11178740481692953,0.20707488970217108,0.030797027885752885
0.027,0.02499133774550874,0.0038192222333670953,0.04764674060427217,0.11712311914159064,0.2132974355079433,0.03409704127171706
0.028,0.02572027634180593,0.007441598467426914,0.04945745978937135,0.12254355616809663,0.21955825210833702,0.037492335073572435
0.029,0.026427660044448072,0.011218648589413122,0.05128026002591587,0.12804689617799142,0.22585570538804853,0.040983010906714974
0.03,0.027110561633650408,0.015152270692674925,0.053115112045719025,0.13363122486854342,0.23218816329668937,0.04456909030733035
0.031,0.02776598361787023,0.01924425610191652,0.05496200124819965,0.13929453380387768,0.23855399720469786,0.04825051316830776
0.032,0.028390860463355705,0.023496284176672284,0.05682092724623213,0.14503472097399583,0.24495158315902466,0.05202713624864199
0.033,0.028982060976237112,0.027909917128061266,0.05869190335756899,0.15084959146353139,0.2513793030322703,0.055898731760542476
0.034,0.02953639083677162,0.03248659485947281,0.060574956043712457,0.15673685823247754,0.25783554555944516,0.059864986038384166
0.035,0.030050595285205695,0.0372276298423326,0.0624701242983883,0.1626941430110579,0.26431870725721784,0.06392549829352982
