time,RGLTMED,RRF,RADDLONG,RST,RTA,RGM
0.0,0.0003309412043975186,0.0002505531426138495,0.00037234097553421746,0.001098289811693866,0.0007397985137234031,0.0015683597428402197
0.001,0.0003657204679274937,0.00014904889463435001,0.00041300790667432217,0.0010166574010632564,0.0009349945231947567,0.0013249057387638003
0.002,0.00040055519666678076,4.801000733476574e-05,0.00045374114553251623,0.0009337065580094138,0.0011316629311631733,0.001080685146764071
0.003,0.0004354237142439875,5.25000874274664e-05,0.0004945147665956008,0.0008494227751966445,0.0013297356448134748,0.0008358280082761909
0.004,0.00047030425194637484,0.0001524185307948899,0.000535302685455319,0.0007637910192275584,0.0015291442761529394,0.0005904652065040895
0.005,0.0005051749789842186,0.00025168312563665884,0.0005760786925772592,0.0006767957314380925,0.001729820245407889,0.00034472831767104695
0.006,0.0005400140328244055,0.00035023242373190304,0.0006168164873484412,0.0005884208314736758,0.0019316948839912186,9.874946318697489e-05
0.007,0.000574799549507905,0.0004480058111707561,0.0006574897123233656,0.0004986497237654377,0.0021346995367687513,0.00014733883687163902
0.008,0.0006095096938752932,0.0005449435917588642,0.0006980719875894172,0.0004074653070106693,0.0023387656633662587,0.0003934038086415222
0.009,0.0006441226896326255,0.0006409870682346727,0.0007385369451747011,0.00031484998674897145,0.002543824938266812,0.0006393125674394246
0.01,0.0006786168491963561,0.0007360786211304824,0.0007788582634248576,0.00022078569111420404,0.0027498093494516436,0.0008849322585870374
0.011,0.0007129706032606967,0.0008301617851253258,0.0008190097012796109,0.00012525388983134793,0.002956651295337787,0.0011301301959059996
0.012,0.0007471625300342141,0.0009231813227484728,0.0008589651323833866,2.823561651560677e-05,0.0031642836797639005,0.0013747739977362195
0.013,0.0007811713840949656,0.0010150832952977593,0.000898698578966226,7.028850568193331e-05,0.0033726400047746526,0.0016187317203706399
0.014,0.0008149761248150551,0.0011058151308393797,0.0009381842454317612,0.00017033823505163836,0.0035816544609565434,0.0018618719888368882
0.015,0.0008485559443060902,0.001195325689157939,0.0009773965515895602,0.0002719336789087084,0.0037912620150852587,0.0021040641249902643
0.016,0.0008818902948368404,0.0012835653235294185,0.0010163101654706553,0.00037509525777787824,0.004001398494855327,0.002345178272910986
0.017,0.0009149589156739452,0.0013704859391962104,0.0010549000356675628,0.0004798436661863488,0.004212000670473753,0.0025850855216202717
0.018,0.0009477418592964316,0.0014560410484324813,0.0010931414231433816,0.0005861998300839526,0.004423006332907069,0.002823658025146228
0.019,0.0009802195169355417,0.0015401858220996775,0.0011310099324585896,0.0006941848609213259,0.004634354368574704,0.003060769119983235
0.02,0.001012372643392966,0.0016228771376062918,0.0011684815423684608,0.0008038200064266522,0.004845984830282213,0.0032962934399971278
0.021,0.0010441823810928398,0.0017040736232026767,0.001205532635747737,0.000915126598129733,0.005057839004188352,0.003530107028832487
0.022,0.0010756302833259414,0.001783735698558262,0.0012421400288020307,0.0010281259956916426,0.0052698594726022525,0.0037620874498781346
0.023,0.001106698336649093,0.0018618256115820585,0.0012782809995277103,0.0011428395281116918,0.005481990172409877,0.003992113893843435
0.024,0.0011373689824090423,0.0019383074714576102,0.001313933315383476,0.0012592884319013466,0.005694176448929638,0.004220067283992509
0.025,0.001167625137367093,0.002013147277873156,0.001349075260137003,0.0013774937863364433,0.005906365104994195,0.004445830379077939
0.026,0.0011974502134069684,0.0020863129464380177,0.0013836856598497744,0.0014974764459234334,0.006118504445050157,0.00466928787401121
0.027,0.001226828136312865,0.0021577743302857747,0.001417743907963987,0.0016192569702392805,0.006330544314063008,0.00489032649830411
0.028,0.0012557433636073278,0.0022275032378735603,0.0014512299894571953,0.0017428555513238782,0.006542436131015,0.0051088351123120546
0.029,0.0012841809014398388,0.0022954734469982953,0.0014841245040318513,0.0018682919388174396,0.006754132916791013,0.005324704801304747
0.03,0.0013121263205175722,0.0023616607150678836,0.0015164086883075643,0.0019955853630452035,0.006965589316260903,0.005537828967381346
0.031,0.0013395657710704289,0.0024260427856862025,0.001548064436984517,0.0021247544562587478,0.00717676161438616,0.0057481034192387
0.032,0.0013664859968437776,0.0024885993916312957,0.001579074322947505,0.0022558171722462383,0.007387607746206174,0.005955426459794145
0.033,0.001392874348114217,0.0025493122543252394,0.0016094216162812465,0.002388790704523541,0.007598087300596967,0.006159698971658044
0.034,0.0014187187937254033,0.002608165079911266,0.0016390903021689226,0.0025236914033167613,0.007808161517742771,0.006360824500444536
0.035,0.001444007932142089,0.0026651435520664863,0.0016680650976484577,0.0026605346915473606,0.008017793280315606,0.006558709335902372
0.036,0.0014687310015215975,0.002720235321685351,0.0016963314672058338,0.0027993349800350454,0.008226947098414294,0.006753262590842432
0.037,0.0014928778888038383,0.0027734299935716256,0.0017238756371913033,0.0029401055821404584,0.008435589088366975,0.0069443962778347355
0.038,0.0015164391378236209,0.002824719110277518,0.0017506846090514939,0.0030828586280765837,0.008643686945548696,0.0071320253836451184
0.039,0.001539405956451813,0.002874096133227682,0.001776746171376868,0.0032276049791221456,0.008851209911405127,0.007316067941379536
0.04,0.0015617702227743789,0.0029215564212620878,0.0018020489107685896,0.003374354141970873,0.00905812873489975,0.007496445100302621
0.041,0.0015835244903203128,0.002967097206726092,0.0018265822215309954,0.0035231141834472617,0.009264415628613297,0.007673081193297991
0.042,0.001604661992350802,0.0030107175692305928,0.00185033631419636,0.0036738916458130028,0.009470044219726512,0.007845903801941683
0.043,0.0016251766452229737,0.003052418407201664,0.001873302222888989,0.0038266914628797607,0.009674989496115607,0.008014843819164435
0.044,0.0016450630508429848,0.0030922024073382287,0.0018954718115370627,0.00398151687713458,0.009879227747785746,0.008179835509479419
0.045,0.0016643164982254113,0.0031300740120984473,0.0019168377789435629,0.004138369358074284,0.010082736503862667,0.008340816566748968
0.046,0.0016829329641782414,0.0031660393853403107,0.0019373936627316703,0.00429724852193515,0.010285494465357654,0.008497728169458358
0.047,0.0017009091131343387,0.003200106376247824,0.001957133842184504,0.004458152052995277,0.010487481433917548,0.00865051503345785
0.048,0.001718242296150924,0.0032322844816791633,0.001976053540003592,0.004621075626622626,0.010688678236770275,0.008799125462126366
0.049,0.0017349305490994321,0.003262584807075809,0.0019941488230146697,0.004786012834244784,0.010889066648082056,0.008943511393901997
0.05,0.0017509725900701155,0.0032910200260713946,0.0020114166018522944,0.004952955110427038,0.011088629306960052,0.009083628447117043
0.051,0.0017663678160190189,0.0033176043389361487,0.0020278546296555043,0.005121891662258908,0.011287349632363651,0.009219435962068877
0.052,0.0017811162986887303,0.003342353429988178,0.0020434614998060523,0.005292809401260004,0.011485211735220583,0.009350897040251905
0.053,0.0017952187798375386,0.003365284424097266,0.0020582366427396603,0.005465692878019417,0.0116822003280696,0.009477978580668303
0.054,0.0018086766658131782,0.003386415842400553,0.0020721803218593376,0.005640524219779407,0.011878300632562651,0.009600651313125477
0.055,0.0018214920215068443,0.0034057675573421456,0.0020852936285776606,0.005817283071170196,0.012073498285156371,0.009718889828417412
0.056,0.0018336675637212608,0.003423360747140556,0.0020975784765126034,0.005995946538304856,0.01226777924131167,0.009832672605276734
0.057,0.0018452066539845784,0.003439217849780181,0.0021090375948601874,0.006176489136452841,0.012461129678506806,0.009941982033973317
0.058,0.0018561132908411473,0.0034533625166175506,0.002119674520966815,0.0063588827415215505,0.012653535898354086,0.010046804436422996
0.059,0.0018663921016513281,0.00346581956568996,0.002129493592123599,0.00654309654558003,0.01284498422808862,0.010147130082657543
0.06,0.0018760483339342522,0.0034766149348121234,0.0021384999366040706,0.006729097016655229,0.013035460921667394,0.010242953203498073
0.061,0.001885087846287851,0.0034857756345442873,0.0021466994639660363,0.006916847863021468,0.013224952060683302,0.010334271999271949
0.062,0.0018935170989187473,0.003493329701112614,0.00215409885463793,0.007106310002189941,0.013413443455270613,0.010421088644419329
0.063,0.0019013431438113493,0.0034993061493591962,0.002160705548808758,0.007297441534788112,0.013600920545162364,0.010503409287846436
0.064,0.0019085736145614848,0.0035037349257942144,0.002166527734638378,0.007490197723498652,0.01378736830105737,0.010581244048891842
0.065,0.0019152167158959046,0.003506646861816216,0.00217157433580255,0.0076845309772044556,0.013972771126465056,0.010654607008774405
0.066,0.0019212812128957153,0.003508073627158605,0.0021758549983863424,0.007880390840461014,0.014157112760224834,0.01072351619738705
0.067,0.0019267764199398757,0.0035080476836121194,0.0021793800771402563,0.00807772398839127,0.014340376179945541,0.010787993575293923
0.068,0.0019317121893845043,0.003506602239065609,0.0021821606211150286,0.00827647422707176,0.014522543506669811,0.010848065010783543
