time,RGLTMED,RRF,RADDLONG,RST,RTA,RGM,LGLTMED,LRF,LADDLONG,LST,LTA,LGM
0.0,0.015819584444887753,0.16965854618651224,0.18300884902248937,0.007581558097088408,0.007112815862161983,0.03184495015455289,0.004138146704258143,0.012694590147475303,0.016366592366077952,0.12843108811334816,0.08332489742420028,0.010975884515698893
0.001,0.018198442197736708,0.1816904264459648,0.17139789867721442,0.006828382813309375,0.005777940004226467,0.03303935076683917,0.004624999877016573,0.011190784501440005,0.01483882256114695,0.12183243641996977,0.08838516875394822,0.014693035081407518
0.002,0.020582865394432426,0.19365783552440063,0.15988677865430895,0.0060756319487714995,0.004441739936005372,0.03423443052318469,0.005109174489896878,0.00969832155038135,0.013319590205279348,0.11524464699363572,0.0934941093872141,0.01840164207204719
0.003,0.022971250216333245,0.20555152363088164,0.1484822644378005,0.005323395909240144,0.003104944554728671,0.03542942548637306,0.00559029727660218,0.008218193984136684,0.011809830511080142,0.10867025056724075,0.09864886258210426,0.022099317686276133
0.004,0.02536198126648908,0.21736230855029953,0.13719099004564872,0.004571746385961557,0.0017682761702754516,0.03662357610894674,0.006067997028400378,0.006751381716262862,0.01031046534721072,0.10211172616061988,0.10384651610893537,0.025783680072161017
0.005,0.027753433744833952,0.2290810913279535,0.1260194387617871,0.0038207357131690425,0.0004324491284599921,0.03781612881252396,0.006541905192339659,0.0052988504898595626,0.008822401821538886,0.09557149835209895,0.10908410640810778,0.02945235661549952
0.006,0.03014397563076754,0.24069887182722627,0.11497393419923829,0.003070396259644198,0.0009018315170002147,0.03900633757153982,0.007011656469307499,0.0038615505102271674,0.007346530900443579,0.08905193473527452,0.11435862280102203,0.03310298722594214
0.007,0.03253196986681587,0.252206764107714,0.10406063171597857,0.002320739856754542,0.0022338712763737985,0.040193465496524486,0.007476889410529073,0.0024404151076901645,0.005883726068862652,0.08255534356755459,0.11966701173823902,0.036733227614426434
0.008,0.03491577653720266,0.26359601157220414,0.09328551020380033,0.0015717572652899786,0.0035629874346248956,0.04137678641210288,0.007937247011165067,0.001036359433678369,0.0044348420354210286,0.07608397161629603,0.125006181072863,0.04034075255573975
0.009,0.03729375503534103,0.27485800183201636,0.08265436426904603,0.0008234176833312631,0.004888510197585329,0.042555586424880915,0.0083923772997765,0.00034972080711445625,0.0030007134867048152,0.06964000220767609,0.13037300435013172,0.043923259130208496
0.01,0.039664266214369366,0.28598428124212927,0.07217279682270504,7.566829731747613e-05,0.006209783771283057,0.043729165476463605,0.00884193392247306,0.0017169505858598856,0.0015821538943047114,0.06322555348279922,0.13576432510622874,0.047478469938738534
0.011,0.04202567451509004,0.2969665690603197,0.06184621209588034,0.0006715661216723585,0.007526167372827435,0.04489683887700581,0.009285576720650572,0.0030644767376205345,0.0001799543778023262,0.05684267686488193,0.14117696117037903,0.05100413628563293
0.012,0.044376350065918245,0.30779677118780635,0.051679809095290255,0.0014183835745127224,0.008837036171815176,0.04605793881494426,0.009722972301240617,0.004391469106118412,0.00120511737367796,0.05049335574076227,0.146607708964872,0.05449804132370189
0.013,0.04671467074981908,0.31846699345217644,0.04167857551211441,0.002164905141753383,0.01014178216165804,0.04721181583879949,0.010153794598523539,0.005697121643424526,0.0025723181191776804,0.044179504359489516,0.15205334779801838,0.057958003156317085
0.014,0.049039024233619555,0.32896955439660014,0.03184728209599337,0.0029112752408710606,0.011439814960527936,0.04835784030717676,0.010577725426532186,0.006980653462997288,0.00392093002113131,0.037902966950345035,0.1575106441453722,0.0613818778911165
0.015,0.05134780995556026,0.33929699754230264,0.022190477504237367,0.003657661831608188,0.01273056254181078,0.049495403803241377,0.01099445502118893,0.008241309844763501,0.005250261536701117,0.031665517062187475,0.16297635591450868,0.06476756264024783
0.016,0.053639441067530914,0.349442103093764,0.01271248363440278,0.004404256568130319,0.014013471894082126,0.05062392051006821,0.011403682571298908,0.009478363191017514,0.00655964824417582,0.02546885712540229,0.16844723668847217,0.06811299846210875
0.017,0.05591234632916839,0.35939789905837694,0.0034173914463863308,0.005151274896947495,0.015288009610813258,0.05174282854331252,0.011805116737605119,0.010691113932064792,0.007848453603721455,0.019314618236726522,0.17392003994269392,0.07141617323969902
0.018,0.05816497195179376,0.3691576717542562,0.005690942721934387,0.005898956099696089,0.01655366241020547,0.05285159123766147,0.012198476159106521,0.011878891380618806,0.00911606965211087,0.013204360165845416,0.17939152322988344,0.07467512449082998
0.019,0.06039578339093524,0.3787149756817896,0.014608900343617549,0.006647563280154057,0.017809937585756816,0.05394969838353658,0.012583489945913224,0.013041054534179568,0.010361917631349282,0.007139571580830176,0.18485845232716264,0.07788794210555067
0.02,0.06260326708670788,0.38806364273610783,0.023333103396170087,0.007397383294965786,0.019056363388327467,0.05503666741064216,0.012959898157919307,0.014176992824812475,0.011585448551275178,0.0011216704876695915,0.1903176053394342,0.08105277100630992
0.021,0.06478593215167393,0.39719779073889655,0.03186041656147952,0.008148726627762441,0.02029248934066331,0.05611204451506132,0.013327452268626007,0.015286126815969825,0.012786143686369194,0.004847995122505398,0.1957657767527955,0.08416781372640321
0.022,0.06694231200596432,0.4061118312685181,0.0401879489356358,0.008901927206528949,0.02151788648545588,0.05717540572682747,0.013685915613440352,0.016367908846177944,0.013963515007126281,0.01076814642614319,0.2011997814314787,0.08723133290230238
0.023,0.0690709659594168,0.4148004767674609,0.04831305525359555,0.00965734216422519,0.022732147568131886,0.058226357915016166,0.014035063821807008,0.017421823619514866,0.015117105546457451,0.01663757272837672,0.20661645855163174,0.09024165367540968
0.024,0.07117048074040037,0.42325874690667636,0.05623333663492568,0.010415351542874452,0.023934887155644912,0.05926453972753721,0.014374685232524484,0.01844738874292969,0.016246489701789383,0.022455130241635823,0.21201267546503302,0.0931971659987584
0.025,0.07323947197084445,0.431481974188111,0.06394664085801216,0.011176357941495128,0.025125741692574595,0.060289622462866586,0.014704581291565443,0.019444155210581824,0.017351273473666207,0.02821974069140755,0.21738533148569447,0.09609632684414343
0.026,0.07527658558681222,0.43946580877008323,0.07145106217140192,0.011940786108458189,0.026304369495854664,0.061301310870960114,0.01502456693181309,0.02041170783547618,0.018431094641847754,0.03393038975936543,0.22273136159200804,0.09893766230508158
0.027,0.07728049920379298,0.4472062225047536,0.07874494065223706,0.012709082478932272,0.027470450689435152,0.06229934388053607,0.015334470934099695,0.02134966562883985,0.019485622880006326,0.03958612537464856,0.22804774003681025,0.1017197695909307
