Time,RGLTMED,RRF,RADDLONG,RST,RTA,RGM
27.87,0.000277225,0.004072426,0.000160324,-0.00066075,0.007783492,0.000802641
27.871,0.000355001,0.004244126,0.000257896,-0.000535689,0.008272259,0.000850064
27.872,0.000432495,0.004416175,0.000358458,-0.00041132,0.008761412,0.000897608
27.873,0.000509661,0.004588446,0.000462008,-0.000287729,0.009250652,0.000945248
27.874,0.000586453,0.004760808,0.00056854,-0.000164999,0.009739682,0.000992962
27.875,0.000662824,0.004933131,0.000678045,-4.32E-05,0.010228201,0.001040724
27.876,0.000738728,0.005105282,0.000790512,7.75E-05,0.010715911,0.001088513
27.877,0.000814121,0.005277128,0.000905926,0.000197202,0.011202513,0.001136305
27.878,0.000888958,0.005448536,0.001024272,0.00031567,0.011687709,0.001184078
27.879,0.000963195,0.00561937,0.001145527,0.000432875,0.012171202,0.001231812
27.88,0.001036788,0.005789496,0.001269669,0.000548741,0.012652697,0.001279484
27.881,0.001109695,0.005958779,0.001396671,0.000663192,0.0131319,0.001327075
27.882,0.001181875,0.006127083,0.001526504,0.000776157,0.01360852,0.001374565
27.883,0.001253286,0.006294273,0.001659135,0.000887565,0.014082269,0.001421937
27.884,0.001323889,0.006460214,0.001794528,0.000997346,0.014552862,0.001469171
27.885,0.001393643,0.006624771,0.001932643,0.001105435,0.015020016,0.001516251
27.886,0.001462512,0.00678781,0.002073439,0.001211767,0.015483454,0.001563161
27.887,0.001530458,0.006949198,0.002216871,0.001316279,0.015942901,0.001609886
27.888,0.001597446,0.007108804,0.00236289,0.001418912,0.016398089,0.001656411
27.889,0.00166344,0.007266495,0.002511444,0.001519608,0.016848752,0.001702724
27.89,0.001728407,0.007422142,0.002662477,0.001618312,0.017294631,0.001748813
27.891,0.001792314,0.007575617,0.002815934,0.001714971,0.017735472,0.001794666
27.892,0.00185513,0.007726793,0.002971751,0.001809536,0.018171027,0.001840273
27.893,0.001916826,0.007875546,0.003129865,0.001901959,0.018601054,0.001885626
27.894,0.001977372,0.008021752,0.003290209,0.001992195,0.019025316,0.001930717
27.895,0.002036742,0.008165292,0.003452711,0.002080202,0.019443584,0.001975539
27.896,0.00209491,0.008306048,0.0036173,0.002165941,0.019855636,0.002020087
27.897,0.002151851,0.008443903,0.003783897,0.002249374,0.020261256,0.002064355
27.898,0.002207542,0.008578744,0.003952425,0.002330468,0.020660236,0.002108341
27.899,0.002261962,0.008710462,0.0041228,0.002409192,0.021052375,0.002152043
27.9,0.00231509,0.008838949,0.004294937,0.002485516,0.02143748,0.00219546
27.901,0.002366909,0.008964101,0.00446875,0.002559416,0.021815365,0.00223859
27.902,0.0024174,0.009085816,0.004644146,0.002630869,0.022185854,0.002281437
27.903,0.002466549,0.009203998,0.004821034,0.002699853,0.022548776,0.002324001
27.904,0.002514341,0.009318552,0.004999316,0.002766353,0.02290397,0.002366287
27.905,0.002560764,0.009429388,0.005178895,0.002830352,0.023251284,0.002408298
27.906,0.002605806,0.009536419,0.00535967,0.002891841,0.023590573,0.00245004
27.907,0.002649459,0.009639562,0.005541538,0.002950808,0.0239217,0.002491519
27.908,0.002691714,0.009738738,0.005724393,0.003007248,0.024244538,0.002532742
27.909,0.002732566,0.009833873,0.005908128,0.003061157,0.024558968,0.002573719
27.91,0.002772008,0.009924894,0.006092633,0.003112535,0.02486488,0.002614457
27.911,0.002810039,0.010011736,0.006277796,0.003161381,0.02516217,0.002654967
27.912,0.002846656,0.010094337,0.006463504,0.003207702,0.025450747,0.002695259
27.913,0.002881859,0.010172638,0.006649641,0.003251503,0.025730524,0.002735346
27.914,0.00291565,0.010246586,0.006836091,0.003292793,0.026001426,0.00277524
27.915,0.00294803,0.010316132,0.007022735,0.003331585,0.026263385,0.002814954
27.916,0.002979004,0.010381232,0.007209452,0.003367893,0.026516341,0.002854501
27.917,0.003008579,0.010441845,0.007396122,0.003401733,0.026760244,0.002893896
27.918,0.00303676,0.010497938,0.007582621,0.003433124,0.026995051,0.002933153
27.919,0.003063557,0.010549479,0.007768826,0.003462087,0.027220728,0.002972289
27.92,0.00308898,0.010596444,0.007954612,0.003488647,0.027437248,0.003011319
27.921,0.003113039,0.01063881,0.008139853,0.003512829,0.027644594,0.003050259
27.922,0.003135746,0.010676562,0.008324423,0.00353466,0.027842756,0.003089126
27.923,0.003157117,0.01070969,0.008508195,0.003554171,0.02803173,0.003127936
27.924,0.003177166,0.010738186,0.008691041,0.003571394,0.028211524,0.003166708
27.925,0.003195908,0.010762048,0.008872833,0.003586363,0.02838215,0.003205458
27.926,0.003213363,0.010781281,0.009053443,0.003599114,0.028543628,0.003244203
27.927,0.003229547,0.010795892,0.009232742,0.003609685,0.028695987,0.003282962
27.928,0.003244481,0.010805894,0.009410603,0.003618116,0.028839262,0.003321751
27.929,0.003258186,0.010811305,0.009586896,0.003624448,0.028973494,0.003360588
27.93,0.003270683,0.010812148,0.009761495,0.003628726,0.029098734,0.003399491
27.931,0.003281994,0.010808448,0.009934271,0.003630992,0.029215036,0.003438476
27.932,0.003292145,0.010800239,0.010105098,0.003631295,0.029322462,0.00347756
27.933,0.003301158,0.010787557,0.01027385,0.003629683,0.029421082,0.003516761
27.934,0.00330906,0.010770443,0.0104404,0.003626205,0.029510969,0.003556094
27.935,0.003315877,0.010748943,0.010604625,0.003620911,0.029592205,0.003595575
27.936,0.003321635,0.010723107,0.010766401,0.003613856,0.029664875,0.00363522
27.937,0.003326363,0.01069299,0.010925606,0.003605091,0.029729071,0.003675043
27.938,0.003330088,0.01065865,0.01108212,0.003594674,0.02978489,0.003715059
27.939,0.003332839,0.010620151,0.011235824,0.003582659,0.029832436,0.003755282
27.94,0.003334646,0.010577561,0.0113866,0.003569104,0.029871814,0.003795724
27.941,0.003335538,0.010530952,0.011534332,0.003554068,0.029903137,0.003836399
27.942,0.003335547,0.010480399,0.011678906,0.003537611,0.029926521,0.003877316
27.943,0.003334703,0.010425981,0.011820212,0.003519792,0.029942087,0.003918488
27.944,0.003333037,0.010367783,0.01195814,0.003500674,0.02994996,0.003959924
27.945,0.00333058,0.010305892,0.012092583,0.003480319,0.029950268,0.004001634
27.946,0.003327365,0.010240398,0.012223437,0.003458791,0.029943144,0.004043624
27.947,0.003323424,0.010171397,0.012350599,0.003436152,0.029928723,0.004085902
27.948,0.003318789,0.010098985,0.012473972,0.003412469,0.029907144,0.004128475
27.949,0.003313492,0.010023265,0.012593458,0.003387807,0.029878548,0.004171347
