time,RGLTMED,RRF,RADDLONG,RTA,RGM,LGLTMED,LRF,LADDLONG,LTA,LGM
0.0,0.006391590656667406,0.0020274957391104155,0.011520029890623581,0.11150766956030854,0.002301093695389824,0.05457808809680404,0.029827898144335858,0.0010733199634927434,0.0002973686465360366,0.03083339131861377
0.001,0.004963159369006657,0.0026255993246682954,0.012169318708681811,0.12160573372719154,0.001074594166313532,0.06337071234361748,0.027759362111918578,0.0020697413440816464,0.007337242992562395,0.02652428821662884
0.002,0.0035338347646311544,0.0032251334250238566,0.012819786368506635,0.13170101592263941,0.0001485126324950301,0.0721182556316647,0.025700589450546936,0.003063104801521734,0.01432844248222077,0.022095298847195324
0.003,0.0021044000907113874,0.0038257591786766227,0.01347097647872124,0.1417863404192316,0.0013674809407257216,0.08081429016400175,0.02365269048489496,0.004052768961151692,0.02126585026225718,0.017546318832022945
0.004,0.0006756395252466949,0.004427136662448585,0.01412243026964471,0.1518545054980735,0.0025815699742566004,0.08945241849991821,0.02161675949892777,0.005038097704987265,0.028144399331561355,0.012877337361187572
0.005,0.0007516627299409136,0.005028925361568949,0.014773687305739972,0.16189829342357612,0.0037900449963526863,0.09802628271968526,0.0195938733156405,0.006018461203016226,0.03495908033700966,0.008088438899697362
0.006,0.0021767233508014298,0.005630784638403208,0.015424286202938002,0.17191048044094065,0.004992178375974964,0.10652957352774885,0.017585089922265037,0.006993236930132788,0.04170494925081726,0.003179804834159587
0.007,0.003598760785492936,0.006232374198509537,0.016073765348650983,0.18188384676830238,0.006187250630324755,0.11495603927010016,0.015591447144288362,0.007961810665492014,0.04837713490546571,0.001848284943490073
0.008,0.00501699614002262,0.006833354552692013,0.016721663622326466,0.1918111865566422,0.0073745514489328865,0.12329949484232236,0.013613961371259307,0.008923577471195746,0.054970846364151296,0.006995450518499939
0.009,0.006430654053494169,0.007433387473917462,0.01736752111453866,0.20168531779119228,0.008553380696812945,0.13155383046551325,0.011653626336944957,0.009877942647442376,0.06148138010633168,0.012261210505512004
0.01,0.007838963561498276,0.008032136447981402,0.01801087984262223,0.21149909210833576,0.009723049394459173,0.13971302030782243,0.009711411956098365,0.010824322661351627,0.06790412700961355,0.01764498067412543
0.011,0.009241158946195626,0.008629267116868828,0.018651284460965353,0.22124540450219995,0.01088288067265024,0.14777113092996647,0.007788263219685892,0.011762146046810319,0.07423457911057983,0.023146072651703938
0.012,0.010636480571688927,0.00922444771394144,0.019288282964206673,0.23091720289592166,0.012032210700310388,0.15572232953394666,0.005885099150146249,0.012690854272759296,0.08046833612852744,0.02876369270759941
0.013,0.012024175703396095,0.009817349490050326,0.019921427381701377,0.24050749755373632,0.0131703895837863,0.16356089199532006,0.004002811817937401,0.01360990257758323,0.08660111173731261,0.0344969406232664
0.014,0.013403499310182285,0.010407647129828768,0.020550274461802773,0.25000937031172077,0.014296782236051223,0.17128121066060348,0.002142265420403005,0.014518760767420584,0.0926287395715805,0.040344808653177626
0.015,0.014773714848212854,0.01099501915742903,0.02117438634456393,0.2594159836071897,0.01541076921451978,0.17887780189278474,0.000304295423865373,0.015416913976570948,0.09854717895499346,0.04630618058169081
0.016,0.016134095025556603,0.011579148331141239,0.021793331221640164,0.2687205892888427,0.016511747526238147,0.18634531334933332,0.001510292230328452,0.01630386338853218,0.10435252033949757,0.0523798308813142
0.017,0.017483922546754495,0.012159722026246505,0.022406683982124677,0.2779165371917424,0.01759913139933963,0.19367853097836815,0.0033007218552424614,0.01717912691650873,0.11004099044613784,0.058564423978050714
0.018,0.018822490836643228,0.012736432605649132,0.023014026843177125,0.28699728346251546,0.018672353019757917,0.20087238571968552,0.005066248682932774,0.018042239842411142,0.11560895709920159,0.0648585136296047
0.019,0.020149104742864892,0.013308977777767817,0.02361494996433059,0.29595639862156187,0.019730863232218062,0.20792195989867396,0.0068061594641043565,0.018892755413664156,0.12105293374646395,0.07126054242238879
0.02,0.021463081216567956,0.013877060941216754,0.024209052044380938,0.3047875753505923,0.020774132204673973,0.2148224933024953,0.008519773003018014,0.019730245397156915,0.1263695836591361,0.07776884139318731
0.021,0.022763749970895693,0.01444039151580067,0.024795940899952955,0.3134846359956464,0.021801650055291374,0.22156938892969186,0.010206440628088542,0.020554300589887164,0.13155572380647013,0.08438162978135279
0.022,0.02405045411696007,0.01499868525937325,0.02537523402481913,0.32204153977748284,0.022812927441300587,0.22815821840592626,0.011865546598796465,0.021364531285886088,0.1366083284014451,0.09109701491721349
0.023,0.02532255077696914,0.015551664570087647,0.025946559129265148,0.3304523897027936,0.02380749610892963,0.23458472706036676,0.013496508449744534,0.02216056769916143,0.14152453211581537,0.09791299225232267
0.024,0.026579411674273364,0.016099058773583926,0.02650955465880548,0.3387114391709196,0.02478490940379529,0.24084483865928424,0.015098777272950293,0.022942060342477734,0.1463016329644079,0.10482744553698294
0.025,0.027820423700059126,0.016640604394762785,0.02706387029161749,0.34681309827153567,0.025744742741120635,0.246934659795618,0.016671837939521848,0.023708680361864624,0.15093709485991516,0.11183814715028703
0.026,0.029044989456438818,0.017176045413711396,0.027609167414071774,0.35475193976895086,0.02668659403518912,0.25285048393509796,0.01821520926211697,0.0244601198269529,0.1554285498402552,0.1189427585877738
