Time,RGLTMED,RRF,RADDLONG,RBF,RTA,RGM
15.77,0.0035419916978486235,0.005151996080837697,0.0036619045415859515,0.00231721857954651,-0.05388001379311501,0.0015451650768248174
15.771,0.0037273980514449614,0.00542352215495445,0.003823908744143661,0.002425313167618163,-0.04622560291493246,0.0016374648488106565
15.772,0.0039158598780701164,0.005695779290457471,0.003985948319676175,0.002534583126873019,-0.03859459745388381,0.0017299848159287017
15.773,0.004107312770244227,0.005968584524250259,0.0041479111523888045,0.0026449675300629773,-0.030991238241729707,0.0018226794526458772
15.774,0.004301689206665082,0.0062417543309480055,0.004309684897321608,0.0027564039796893276,-0.02341972448320781,0.0019155036525312875
15.775,0.004498918600320771,0.006515104937241123,0.004471157154179885,0.002868828687067716,-0.015884208097700168,0.002008412819594636
15.776,0.004698927350567213,0.006788452636361129,0.004632215641702229,0.002982176553400818,-0.00838878817791828,0.002101362958592004
15.777,0.004901638899059049,0.007061614101467893,0.004792748372030005,0.00309638125258839,-0.0009375055792251436,0.002194310763977615
15.778,0.005106973789428582,0.0073344066967859795,0.004952643824571563,0.0032113753155384992,0.006465662347621674,0.0022872137072197287
15.779,0.005314849730614254,0.007606648785349211,0.005111791118885937,0.003327090215777838,0.013816806868459519,0.002380030122232241
15.78,0.005525181663742789,0.007878160032271393,0.0052700801861385255,0.003443456456184401,0.021112092811542076,0.0024727192886977774
15.781,0.005737881832465106,0.008148761702540095,0.005427401938703109,0.003560403656679614,0.028347763337111354,0.002565241513073434
15.782,0.005952859856637223,0.008418276952414566,0.0055836484375030825,0.003677860642723125,0.035520144521238674,0.0026575582070784893
15.783,0.006170022809226956,0.008686531113591115,0.005738713056704179,0.0037957555344568833,0.042625649744865116,0.002749631963466821
15.784,0.006389275296317302,0.008953351969388219,0.005892490645392928,0.003914015836348835,0.049660783879359266,0.002841426628889103
15.785,0.006610519540068269,0.00921857002230974,0.0060448776858969,0.0040325685271926015,0.05662214726048427,0.0029329073736561757
15.786,0.006833655464490736,0.009482018752458382,0.006195772448420594,0.004151340150328639,0.06350643944356196,0.0030240407582291856
15.787,0.007058580783879552,0.009743534866367129,0.006345075141682017,0.004270256903962866,0.07031046273382317,0.003114794796283535
15.788,0.0072851910937479095,0.010002958535877855,0.006492688059239117,0.0043892447314679995,0.07703112548729693,0.003205139014216922
15.789,0.007513379964100023,0.01026013362672992,0.006638515721193402,0.004508229411560581,0.08366544517892589,0.003295044506991863
15.79,0.007743039034873449,0.010514907916542233,0.0067824650109534436,0.004627136648254543,0.09021055123572792,0.0033844839902190268
15.791,0.007974058113374906,0.010767133301892261,0.006924445306737918,0.004745892160499385,0.09666368763365064,0.0034734318484002723
15.792,0.008206325273522403,0.011016665994223402,0.007064368607501595,0.00486442177141427,0.10302221525731077,0.003561864179259232
15.793,0.008439726956691627,0.01126336670435159,0.007202149652980039,0.0049826514970272556,0.10928361402224142,0.003649758834093189
15.794,0.008674148073948082,0.011507100815384846,0.007337706037566666,0.005100507634423793,0.1154454847598127,0.003737095454085455
15.795,0.008909472109431675,0.011747738543901307,0.007470958317753075,0.005217916849203904,0.12150555086578174,0.0038238555025247654
15.796,0.009145581224650364,0.011985155089244864,0.007601830112875616,0.005334806262144311,0.12746165971446183,0.003910022292886537
15.797,0.00938235636343777,0.012219230770796603,0.007730248198918529,0.005451103534960846,0.13331178384165532,0.0039955810127372425
15.798,0.009619677357339861,0.012449851153072166,0.007856142595132712,0.0055667369550685035,0.1390540219005883,0.004080518743428051
15.799,0.00985742303121973,0.012676907158486536,0.007979446643246966,0.005681635519241265,0.1446865993959219,0.004164824475554212
15.8,0.010095471308902816,0.012900295167620063,0.008100097079077264,0.00579572901607868,0.15020786920137166,0.004248489120179202
15.801,0.01033369931871749,0.013119917106810465,0.008218034096374813,0.005908948107187834,0.15561631186658847,0.004331505515855908
15.802,0.010571983498808045,0.013335680522885971,0.008333201402789342,0.0060212244069874745,0.1609105357189423,0.00441386843151166
15.803,0.010810199702106322,0.013547498644851603,0.008445546267855888,0.006132490561037603,0.16608927676591817,0.004495574565290885
15.804,0.011048223300849137,0.013755290432352916,0.008555019562937412,0.006242680322793842,0.171151398404092,0.004576622539465289
15.805,0.011285929290530529,0.01395898061077455,0.008661575793074944,0.006351728628681165,0.17609589094104997,0.004657012891528398
15.806,0.011523192393188268,0.014158499692885138,0.008765173120723396,0.006459571671377875,0.1809218709370315,0.00473674806159212
15.807,0.011759887159943416,0.014353783987007962,0.008865773381393487,0.006566146971201415,0.18562858037339117,0.004815832376200398
15.808,0.011995888072731015,0.014544775591764151,0.008963342091271241,0.006671393445492113,0.19021538565512874,0.004894272028669918
15.809,0.012231069645169047,0.014731422377487908,0.009057848446928363,0.006775251475895193,0.1946817764546878,0.0049720750560604205
15.81,0.012465306522512178,0.014913677954446865,0.009149265317258006,0.006877662973444375,0.19902736440397867,0.005049251312867491
15.811,0.012698473580635116,0.015091501628027639,0.009237569227774375,0.006978571441354978,0.20325188164118277,0.005125812441519305
15.812,0.012930446023994761,0.015264858341090351,0.009322740337411383,0.007077922035442436,0.20735517921842922,0.0052017718397472604
15.813,0.013161099482530561,0.015433718603766182,0.009404762407952117,0.007175661622090848,0.21133722537598468,0.005277144624889585
15.814,0.0133903101074773,0.015598058411051144,0.009483622766221025,0.0072717388337026736,0.21519810368822276,0.005351947595177745
15.815,0.013617954666083862,0.01575785914861145,0.009559312259182206,0.007366104121564016,0.21893801108638478,0.005426199188050042
