Time,RGLTMED,RRF,RADDLONG,RBF,RTA,RGM
0.0,0.009667737765342002,0.0007988288966133736,0.0011752671034064648,0.0009779705222924295,0.008770166075763383,-0.00034547846655092986
0.001,0.009775254039698191,0.0008846790401251555,0.001974142201972129,0.001009311197349647,0.009252183001914563,-0.0001719359201051162
0.002,0.009882099116594588,0.000970395748841428,0.00276608107577928,0.0010400869935430484,0.009738739283839143,5.036046715151188e-07
0.003,0.00998814043427151,0.001055917722841941,0.003550441013969623,0.0010702642441639122,0.010229550418921228,0.0001717352070780946
0.004,0.010093245265569895,0.0011411836281723777,0.004326588134117836,0.0010998098364671616,0.010724324946843132,0.0003416555397460369
0.005,0.010197280976823172,0.0012261321871151548,0.005093898547709403,0.0011286912824764988,0.011222764753470291,0.0005101629572099204
0.006,0.010300115287635088,0.0013107022680605316,0.005851759497783983,0.0011568767903389079,0.01172456538427844,0.0006771576607770394
0.007,0.010401616530483387,0.0013948329746926145,0.006599570463529338,0.001184335336101128,0.012229416366514288,0.0008425418393018741
0.008,0.010501653909185893,0.001478463734258588,0.007336744227148661,0.0012110367357821886,0.012737001539387748,0.0010062198054931607
0.009,0.010600097755356775,0.0015615343847358535,0.008062707898924684,0.0012369517176188784,0.01324699939167781,0.0011680981274014065
0.01,0.010696819782069107,0.001643985260747931,0.008776903897034985,0.001262051994364012,0.013759083406185205,0.0013280857547514691
0.011,0.010791693334027509,0.0017257572781056473,0.009478790879305164,0.0012863103355195455,0.014272922410498537,0.0014860941397984993
0.012,0.01088459363364258,0.0018067920168664529,0.010167844624695123,0.0013097006393875217,0.014788180933579802,0.0016420373523973017
0.013,0.010975398022483101,0.0018870318028149655,0.010843558862878869,0.0013321980048215296,0.015304519567728589,0.0017958321889869483
0.014,0.011063986197653874,0.0019664197872765795,0.01150544605078535,0.0013537788025601571,0.0158215953355414,0.0019473982752064947
0.015,0.011150240442696673,0.002044900025185621,0.01215303809540716,0.0013744207460223083,0.01633906206152667,0.0020966581618757254
0.016,0.011234045852633268,0.0021224175513391494,0.012785887022550468,0.0013941029614427235,0.016856570748056184,0.002243537414098117
0.017,0.011315290552765787,0.0021989184547748994,0.013403565591491962,0.0014128060572247553,0.017373769955328792,0.0023879646932717267
0.018,0.011393865910829824,0.002274349951216344,0.014005667855728529,0.0014305121923861477,0.01789030618499881,0.002529871831825924
0.019,0.011469666742071494,0.0023486604535301906,0.014591809670157007,0.0014472051439717796,0.01840582426709155,0.0026691939005368498
0.02,0.011542591506799234,0.0024217996401430125,0.015161629145110008,0.0014628703733048129,0.018919967749802608,0.002805869268314058
0.021,0.011612542499947925,0.002493718521364874,0.015714787047709067,0.0014774950909447557,0.019432379291757153,0.00293983965439659
0.022,0.01167942603218411,0.002564369503568528,0.016250967150996734,0.0014910683202180362,0.019942701056284318,0.0030710501729462295
0.023,0.011743152602071951,0.0026337064511724327,0.016769876531299605,0.0015035809591846872,0.020450575107233537,0.0031994493700753038
0.024,0.011803637058808152,0.002701684746373881,0.01727124581427743,0.0015150258409049608,0.02095564380582714,0.0033249892533952496
0.025,0.011860798755022568,0.002768261346574892,0.017754829370139426,0.0015253977918731332,0.021457550208010455,0.003447625314219208
0.026,0.011914561689136407,0.0028333948394381817,0.018220405458554134,0.0015346936884924668,0.02195593846172781,0.003567316542592152
0.027,0.011964854636785491,0.0028970454955040176,0.018667776323837478,0.001542912511474651,0.022450454203520792,0.0036840254353494744
0.028,0.012011611270871988,0.0029591753182926102,0.019096768241072717,0.0015500553980579397,0.022940744953815623,0.003797717997418278
0.029,0.01205477026991676,0.003019748091812378,0.019507231513899565,0.001556125691948146,0.02342646051024345,0.0039083637365807415
0.03,0.012094275414537087,0.003078729425392095,0.019899040424810298,0.001561128990893199,0.023907253338325767,0.004015935651925197
0.031,0.012130075672037182,0.003136086795753467,0.020272093138907484,0.0015650731918045544,0.02438277895885866,0.0041204102162230435
0.032,0.012162125269229475,0.003191789586239627,0.020626311562206297,0.0015679685333387862,0.024852696331334495,0.004221767352485502
0.033,0.012190383753677243,0.003245809123114861,0.020961641155700164,0.0015698276358524167,0.025316668232732046,0.004319990404966342
0.034,0.012214816043567464,0.0032981187088518844,0.02127805070654735,0.0015706655386447655,0.025774361630981013,0.00441506610488076
0.035,0.012235392466407936,0.0033486936523252284,0.02157553205787369,0.0015704997344085727,0.02622544805238236,0.0045069845311077345
0.036,0.012252088786713685,0.003397511295833853,0.02185409979881925,0.0015693502008153769,0.026669603942268846,0.004595739066138282
0.037,0.012264886222814101,0.003444551038884618,0.02211379091657958,0.0015672394291698837,0.02710651101823265,0.004681326347528403
0.038,0.012273771452879466,0.0034897943586813247,0.02235466441229992,0.0015641924500732851,0.02753585661531409,0.004763746215112032
0.039,0.01227873661024029,0.0035332248272806526,0.022576800882766444,0.0015602368560389307,0.027957334022608145,0.004843001654222458
0.04,0.012279779268064148,0.003574828125394688,0.02278030206989911,0.0015554028210045861,0.02837064281078261,0.004919098735159033
0.041,0.01227690241347,0.0036145920528375584,0.022965290380087076,0.0015497231166838607,0.028775489150005055,0.0049920465491218825
0.042,0.012270114411200177,0.003652506535628197,0.023131908375426787,0.001543233125696375,0.029171586117751322,0.005061857140824774
0.043,0.01225942895702374,0.003688563629769433,0.023280318238929374,0.0015359708514135926,0.029558653995927768,0.005128545437987838
0.044,0.012244865021093442,0.003722757521724111,0.02341070121575671,0.0015279769244566394,0.029936420556695764,0.005192129177908864
0.045,0.012226446781509982,0.003755084525603505,0.02352325703251906,0.0015192946057845757,0.030304621336349844,0.005252628831313209
0.046,0.012204203548363922,0.003785543077075482,0.023618203296620312,0.0015099697863155464,0.03066299989658135,0.00531006752368422
0.047,0.012178169678535689,0.00381413372399325,0.023695774877576504,0.001500050983027391,0.03101130807247418,0.005364470954274486
0.048,0.012148384481540186,0.0038408591137427278,0.023756223272168597,0.0014895893314882446,0.03134930620665256,0.005415867312994054
0.049,0.012114892116703817,0.0038657239773098916,0.02379981595522878,0.0014786385747717933,0.03167676336914281,0.005464287195370793
0.05,0.012077741481961722,0.0038887351100804473,0.023826835717803328,0.0014672550487158664,0.031993457562693145,0.0055097635157840925
0.051,0.012036986094571404,0.003909901349402669,0.02383757999438659,0.0014554976634859925,0.032299175913460765,0.005552331419182213
0.052,0.01199268396406324,0.003929233548966987,0.023832360180881973,0.0014434278814077323,0.032593714847090456,0.005592028191498479
0.053,0.011944897457786234,0.00394674455007809,0.023811500944918962,0.0014311096910349897,0.0328768802502773,0.00562889316897892
0.054,0.011893693159444833,0.003962449149912928,0.023775339530139356,0.001418609577428006,0.03314848761794225,0.005662967646627407
0.055,0.011839141721045656,0.003976364066870246,0.023724225056056186,0.0014059964886244628,0.03340836218616067,0.005694294785968916
0.056,0.011781317708681266,0.003988507903124804,0.023658517815078276,0.001393341798297677,0.033656339050988505,0.00572291952232844
0.057,0.011720299442582783,0.003998901104502934,0.0235785885682755,0.0013807192646039894,0.03389226327334998,0.005748888471819873
0.058,0.011656168831884778,0.004007565917795546,0.023484817841432356,0.0013682049852256743,0.034115989970188464,0.005772249838232983
0.059,0.011589011204565049,0.00401452634562037,0.023377595222901372,0.0013558773486175295,0.03432738439211778,0.005793053319996906
0.06,0.01151891513304166,0.0040198080989380216,0.0232573186647239,0.0013438169814676635,0.034526321987821455,0.005811350017387555
0.061,0.011445972255920318,0.0040234385473178836,0.0231243937884331,0.0013321066923876203,0.034712688455429665,0.005827192340137707
0.062,0.011370277096381703,0.004025446667041532,0.02297923319689147,0.001320831411853299,0.03488637978107489,0.005840633915604343
0.063,0.011291926877682455,0.004025862987124884,0.02282225579344407,0.001310078128424045,0.03504730226480098,0.005851729497646417
